TraceSource,Direction,Frame,Slot,SNR_dB,ReceiverHestSINR_dB,NMSE_dB,ChannelGain_dB,ConditionNumber_dB,EstimatedCFO_Hz,CFOError_Hz,TimingError_samples,EstimatedDopplerHz,DopplerError_Hz,PhaseTrackingError_deg,QCLAccuracy,Status,SourceArtifact
"DL","DL",7,7,12,39.4446903754184,-10.8405942752583,-103.478021701588,25.5996646277488,NaN,NaN,0,NaN,NaN,5.08888749034163e-14,1,"PASS","air_interface/csv/dl_pdsch_trials.csv"
"DL","DL",7,7,12,20.8696184745171,-13.1661660769853,-120.918174849271,36.1468778192712,NaN,NaN,0,0,-11.1188031732717,0,1,"PASS","air_interface/csv/dl_pdsch_trials.csv"
"DL","DL",7,7,12,24.3222700113384,-11.2769566844973,-89.7950298138592,39.6397214578325,NaN,NaN,0,0,-11.1188031732717,0,1,"PASS","air_interface/csv/dl_pdsch_trials.csv"
"DL","DL",7,7,12,12.610368303274,-11.2245140866132,-132.020067116523,32.2521890650161,NaN,NaN,0,0,-11.1188031732717,0,1,"PASS","air_interface/csv/dl_pdsch_trials.csv"
"DL","DL",7,7,12,9.433347041507,-12.4909473659991,-104.889176726269,42.3125278462671,NaN,NaN,0,0,-11.1188031732717,0,1,"PASS","air_interface/csv/dl_pdsch_trials.csv"
"DL","DL",7,7,12,30.6545767848233,-16.7544316344228,-110.390876867699,25.5597674336453,NaN,NaN,0,0,-11.1188031732717,0,1,"PASS","air_interface/csv/dl_pdsch_trials.csv"
"DL","DL",7,7,12,28.3572433635823,-9.13173154493151,-118.609224801477,36.7100478080138,NaN,NaN,0,0,-11.1188031732717,0,1,"PASS","air_interface/csv/dl_pdsch_trials.csv"
"DL","DL",7,7,12,7.40219237435299,-15.4806039274744,-135.097029715007,43.431043229554,NaN,NaN,0,0,-11.1188031732717,0,1,"PASS","air_interface/csv/dl_pdsch_trials.csv"
"DL","DL",7,7,12,29.4463451626909,-16.2336966902067,-113.602879764642,38.5510903386416,NaN,NaN,0,0,-11.1188031732717,0,1,"PASS","air_interface/csv/dl_pdsch_trials.csv"
"DL","DL",7,7,12,53.7321356145399,-14.3107489021859,-89.2619192085244,38.4071558190686,NaN,NaN,0,0,-11.1188031732717,0,1,"PASS","air_interface/csv/dl_pdsch_trials.csv"
"DL","DL",7,7,12,33.0234301387492,-17.9384535267272,-111.528563606059,25.6263278631772,NaN,NaN,0,NaN,NaN,5.08888749034163e-14,1,"PASS","air_interface/csv/dl_pdsch_trials.csv"
"DL","DL",7,7,12,19.5545488825017,-15.5993818418774,-123.530681401262,48.3700499334941,NaN,NaN,0,0,-11.1188031732717,0,1,"PASS","air_interface/csv/dl_pdsch_trials.csv"
"DL","DL",7,7,12,41.7013738927902,-14.6503983561679,-102.435383261481,32.8357280526636,NaN,NaN,0,0,-11.1188031732717,0,1,"PASS","air_interface/csv/dl_pdsch_trials.csv"
"DL","DL",7,7,12,29.8683033460894,-18.5806544055831,-112.880370429708,33.5477039287254,NaN,NaN,0,0,-11.1188031732717,0,1,"PASS","air_interface/csv/dl_pdsch_trials.csv"
"DL","DL",7,7,12,28.1420494366607,-16.4920764787112,-118.773483629135,38.4490506877035,NaN,NaN,0,0,-11.1188031732717,0,1,"PASS","air_interface/csv/dl_pdsch_trials.csv"
"DL","DL",7,7,12,35.3574129595148,-13.9629049458421,-108.249059552152,31.9372006967163,NaN,NaN,0,0,-11.1188031732717,0,1,"PASS","air_interface/csv/dl_pdsch_trials.csv"
"DL","DL",7,7,12,20.9533249125383,-11.074333756781,-122.407802043127,32.7658357249894,NaN,NaN,0,0,-11.1188031732717,0,1,"PASS","air_interface/csv/dl_pdsch_trials.csv"
"DL","DL",7,7,12,40.8969628889655,-12.0742546073062,-102.424807609436,40.8110270223093,NaN,NaN,0,0,-11.1188031732717,0,1,"PASS","air_interface/csv/dl_pdsch_trials.csv"
"DL","DL",7,7,12,34.3141077701394,-16.1593047447,-108.866386426512,30.591952527681,NaN,NaN,0,NaN,NaN,5.24550515989073e-14,1,"PASS","air_interface/csv/dl_pdsch_trials.csv"
"DL","DL",7,7,12,62.7096763861151,-16.875988319961,-82.955496127728,31.1516691818791,NaN,NaN,0,0,-11.1188031732717,0,1,"PASS","air_interface/csv/dl_pdsch_trials.csv"
"DL","DL",7,7,12,38.0807314294599,-22.3826240133844,-103.993498172067,46.5621000651508,NaN,NaN,0,0,-11.1188031732717,0,1,"PASS","air_interface/csv/dl_pdsch_trials.csv"
"DL","DL",7,7,12,39.4489749937097,-10.1828731083265,-103.889232937948,34.6304940314005,NaN,NaN,0,0,-11.1188031732717,0,1,"PASS","air_interface/csv/dl_pdsch_trials.csv"
"DL","DL",7,7,12,32.1629350964918,-11.0325365158933,-109.842229093407,27.4026070434529,NaN,NaN,0,0,-11.1188031732717,0,1,"PASS","air_interface/csv/dl_pdsch_trials.csv"
"DL","DL",7,7,12,23.4006275543323,-10.1151609549501,-122.024082892236,38.8551907646724,NaN,NaN,0,0,-11.1188031732717,0,1,"PASS","air_interface/csv/dl_pdsch_trials.csv"
"DL","DL",7,7,12,49.9408433051755,-16.8763689859779,-92.9536942965696,33.7936029273634,NaN,NaN,0,0,-11.1188031732717,0,1,"PASS","air_interface/csv/dl_pdsch_trials.csv"
"DL","DL",7,7,12,26.9819071154885,-16.2152581268675,-117.430477129794,32.4248700708007,NaN,NaN,0,0,-11.1188031732717,0,1,"PASS","air_interface/csv/dl_pdsch_trials.csv"
"DL","DL",7,7,12,13.2796989414142,-13.3778319320943,-130.512317521115,35.4220250745147,NaN,NaN,0,0,-11.1188031732717,0,1,"PASS","air_interface/csv/dl_pdsch_trials.csv"
"DL","DL",7,7,12,35.547900487625,-12.113595722762,-78.7631196097584,40.6326396734709,NaN,NaN,0,0,-11.1188031732717,0,1,"PASS","air_interface/csv/dl_pdsch_trials.csv"
