run_id,direction,ue_id,frame,slot,uci_type,expected_ack,observed_ack,pucch_decode_ok,source_artifact
1,UL,3,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,5,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,7,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,9,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,14,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,19,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,26,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,27,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,43,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,47,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,4,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,6,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,10,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,29,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,35,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,41,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,45,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,50,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,2,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,12,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,13,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,15,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,16,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,18,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,23,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,24,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,33,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,34,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,20,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,22,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,32,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,37,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,38,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,40,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,42,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,44,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,49,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,1,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,8,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,11,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,17,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,21,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,25,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,28,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,30,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,31,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,36,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,39,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,46,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
1,UL,48,1,11,harq_ack,1,0,0,packet_flow/csv/live_pucch_grants.csv
