CategoryCode,CategoryKey,CategoryName,MetricKey,MetricName,Availability,CountsTowardCoverage,CoveredRowCount,ObservedRowCount,DerivedRowCount,ConfigOnlyRowCount,DisabledRowCount,PlaceholderRowCount,NotSupportedRowCount,NotAvailableRowCount,NotExercisedRowCount,SourceArtifacts,Notes
"A","run_metadata_outputs","Run metadata outputs","scenario_identifiers","scenario identifiers","config_only",0,0,0,0,3,0,0,0,0,0,"",""
"A","run_metadata_outputs","Run metadata outputs","resolved_config","resolved config","config_only",0,0,0,0,3,0,0,0,0,0,"meta/scenario_config_resolved.json|meta/scenario_config_resolved.yaml|meta/scenario_source_chain.csv",""
"A","run_metadata_outputs","Run metadata outputs","simulator_version","simulator version","config_only",0,0,0,0,1,0,0,0,0,0,"","branch=main; hash=2756cfb"
"A","run_metadata_outputs","Run metadata outputs","git_hash","git hash","config_only",0,0,0,0,1,0,0,0,0,0,"","branch=main; hash=2756cfb"
"A","run_metadata_outputs","Run metadata outputs","seed","seed","config_only",0,0,0,0,1,0,0,0,0,0,"",""
"A","run_metadata_outputs","Run metadata outputs","execution_timestamp","execution timestamp","derived",1,2,0,2,1,0,0,0,0,0,"",""
"A","run_metadata_outputs","Run metadata outputs","hardware_software_environment","hardware/software environment","config_only",0,0,0,0,1,0,0,0,0,0,"meta/environment.json",""
"A","run_metadata_outputs","Run metadata outputs","runtime_summary","runtime summary","config_only",0,0,0,0,2,0,0,0,0,0,"meta/runtime_summary.json",""
"A","run_metadata_outputs","Run metadata outputs","warnings_validation_messages","warnings and validation messages","derived",1,1,0,1,0,0,0,0,0,0,"reports/csv/validation_messages.csv",""
"A","run_metadata_outputs","Run metadata outputs","baseline_candidate_tags","baseline/candidate tags","config_only",0,0,0,0,3,0,0,0,0,0,"",""
"A","run_metadata_outputs","Run metadata outputs","configured_operating_point","configured nominal operating point","config_only",0,0,0,0,10,0,0,0,0,0,"meta/scenario_config_resolved.json","Configured operating-point rows are nominal/config-derived from the resolved scenario config. Effective runtime-selected behavior is exported separately from actual DL/UL waveform trial tables."
"A","run_metadata_outputs","Run metadata outputs","effective_layer_histogram","effective layer histogram","observed",1,6,6,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv","effective runtime-selected layer histogram derived from actual waveform trial tables."
"A","run_metadata_outputs","Run metadata outputs","effective_rank_histogram","effective rank histogram","observed",1,6,6,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv","effective transmitted-rank histogram derived from actual waveform Layers, with RankIndicator only as fallback when layer data is unavailable."
"A","run_metadata_outputs","Run metadata outputs","effective_modulation_histogram","effective modulation histogram","observed",1,6,6,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv","effective runtime-selected modulation histogram derived from actual waveform trial tables."
"A","run_metadata_outputs","Run metadata outputs","effective_mcs_histogram","effective MCS histogram","observed",1,6,6,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv","effective runtime-selected MCS histogram derived from actual waveform trial tables."
"B","basic_phy_performance_outputs","Basic PHY performance outputs","bler_vs_snr_sinr_esn0","BLER vs SNR/SINR/EsN0","observed",1,6,6,0,0,0,0,0,0,0,"air_interface/csv/lls_snr_sweep.csv",""
"B","basic_phy_performance_outputs","Basic PHY performance outputs","ber_vs_snr_sinr_esn0","BER vs SNR/SINR/EsN0","observed",1,6,6,0,0,0,0,0,0,0,"air_interface/csv/lls_snr_sweep.csv",""
"B","basic_phy_performance_outputs","Basic PHY performance outputs","fer_tb_error_rate","FER / TB error rate","observed",1,4,4,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv",""
"B","basic_phy_performance_outputs","Basic PHY performance outputs","code_block_bler","code-block BLER","observed",1,6,6,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv",""
"B","basic_phy_performance_outputs","Basic PHY performance outputs","cbg_bler","CBG BLER","observed",1,6,6,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv","Derived from TB-equivalent grouping when explicit CBG mode is disabled."
"B","basic_phy_performance_outputs","Basic PHY performance outputs","throughput","throughput","observed",1,6,6,0,0,0,0,0,0,0,"air_interface/csv/lls_snr_sweep.csv",""
"B","basic_phy_performance_outputs","Basic PHY performance outputs","goodput","goodput","observed",1,6,6,0,0,0,0,0,0,0,"air_interface/csv/lls_snr_sweep.csv",""
"B","basic_phy_performance_outputs","Basic PHY performance outputs","spectral_efficiency","spectral efficiency","observed",1,4,4,0,0,0,0,0,0,0,"air_interface/csv/lls_snr_sweep.csv",""
"B","basic_phy_performance_outputs","Basic PHY performance outputs","user_perceived_throughput","user-perceived throughput if modeled","observed",1,6,6,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv","LLS has no application-layer perception model; emitted as PHY goodput equivalent."
