Direction,ObservedRows,ChannelArrayModel,ConfiguredTxAntennaPorts,ConfiguredRxAntennaPorts,ObservedNumTxPorts,ObservedNumRxAntennas,ObservedPrecodingNumPorts,TxPortConsistencyRate,RxPortConsistencyRate,PrecodingPortConsistencyRate,ChannelObjectSource,ChannelObjectClass,ChannelArrayHandlingStatus,ChannelArrayHandlingBlocker,ChannelGeometryCouplingLevel,GeometryAdapterType,GeometryAdapterSource,GeometryAdapterLimitation,GeometryAdapterPortMapping,ChannelArrayValueStatus,ChannelUsesCountOnlyAntennaModel,ChannelUsesSameRuntimeAntennaAssumptions,InterferenceChannelObjectSource,InterferenceChannelObjectClass,InterferenceChannelArrayHandlingStatus,InterferenceChannelArrayHandlingBlocker,InterferenceChannelArrayValueStatus,InterferenceUsesSameRuntimeAntennaAssumptions,InterferencePathUsesSameArrayAssumptions,AntennaEvidenceSource,SameFlowEvidenceSource,Notes
DL,150,nrcdl_runtime_array_geometry_channel,64,4,1.88666666666667,4,64,0,1,1,sixgr.channel.ChannelFactory.localCreateCDL,nrCDLChannel,runtime_array_shape_spacing_orientation_coupled,not_applicable,runtime_array_shape_spacing_orientation,backend_native_nrCDLChannel_antenna_array,CoupledTruthRuntime.runtime_antenna_metadata_to_nrCDLChannel,not_applicable,runtime_array_shape_matches_channel_ports,not_applicable,0,1,,,,not_applicable,not_applicable,0,0,active_runtime_user_context,CoupledTruthRuntime.applyUserContextImpl->runDLPDSCHThroughput,"DL uses a runtime-resolved CDL array channel: the active nrCDLChannel consumes BS/UE runtime array shape, spacing, polarization count, and orientation metadata."
UL,96,nrcdl_runtime_array_geometry_channel,4,64,2,64,2,0,1,0,sixgr.channel.ChannelFactory.localCreateCDL,nrCDLChannel,runtime_array_shape_spacing_orientation_coupled,not_applicable,runtime_array_shape_spacing_orientation,backend_native_nrCDLChannel_antenna_array,CoupledTruthRuntime.runtime_antenna_metadata_to_nrCDLChannel,not_applicable,runtime_array_shape_matches_channel_ports,not_applicable,0,1,sixgr.channel.ChannelFactory.localCreateCDL,nrCDLChannel,runtime_array_shape_spacing_orientation_coupled,not_applicable,not_applicable,1,1,active_runtime_user_context,CoupledTruthRuntime.applyUserContextImpl->runULPUSCHThroughput,"UL uses a runtime-resolved CDL array channel: the active nrCDLChannel consumes BS/UE runtime array shape, spacing, polarization count, and orientation metadata."
