Scope,ScopeDefinition,Direction,UEID,UEIndex,RNTI,ObservedFrames,ErroredFrames,FER,BLER,BER,FERDefinition,TraceSource,Notes
"run","all_ues_in_direction_aggregated_per_frame_no_ue_identity","DL",NaN,NaN,NaN,3,2,0.666666666666667,0.266666666666667,0.15505090645687,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. Run scope aggregates all executed UEs in the direction and intentionally leaves UE identity blank."
"ue","single_ue_in_direction_aggregated_per_frame","DL",3,3,3,3,2,0.666666666666667,0.666666666666667,0.193839617631439,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",5,5,5,3,0,0,0,0,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",7,7,7,3,1,0.333333333333333,0.333333333333333,0.179203539823009,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",9,9,9,3,1,0.333333333333333,0.333333333333333,0.208919156414763,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",14,14,14,3,0,0,0,0,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",19,19,19,3,0,0,0,0,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",26,26,26,3,1,0.333333333333333,0.333333333333333,0.00864563240562138,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",27,27,27,3,0,0,0,0,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",43,43,43,3,1,0.333333333333333,0.333333333333333,0.0746149761019649,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
