Slot,Time_s,UEID,CandidateRank,CellID,SiteID,SectorID,Lat,Lon,RSRP_dBm,RxPower_dBm,Pathloss_dB,BeamIndex,BeamGain_dB,LOSFlag,ShadowFading_dB,O2I_dB
7,0.003,3,1,1,1,1,19.1223993510419,73.0003590057339,-77.5756436607845,-42.4222047299006,101.68035942414,20,13.2581546942391,0,-5.87024368660654,0
7,0.003,3,2,4,4,1,19.1223993510419,73.0003590057339,-107.622295030987,-72.4688561001029,132.457094834078,30,13.9882387339755,0,-4.04601658778954,0
7,0.003,3,3,5,5,1,19.1223993510419,73.0003590057339,-117.304168029197,-82.1507290983133,142.14018335995,17,13.9894542616369,0,4.87151762179072,0
7,0.003,3,4,3,3,1,19.1223993510419,73.0003590057339,-137.886702318294,-102.73326338741,132.73326338741,1,-16,0,-0.700917683282448,0
7,0.003,5,1,1,1,1,19.1209629668765,73.0010424741355,-96.4942067195256,-61.3407677886417,119.565560252818,7,12.2247924641767,0,1.31282431900106,0
7,0.003,5,2,5,5,1,19.1209629668765,73.0010424741355,-106.732450805379,-71.5790118744956,131.5746209879,14,13.9956091134044,0,-7.53447268338571,0
7,0.003,5,3,4,4,1,19.1209629668765,73.0010424741355,-113.211842766152,-78.0584038352681,137.201779165888,26,13.14337533062,0,2.33754118153454,0
7,0.003,5,4,3,3,1,19.1209629668765,73.0010424741355,-130.412096350276,-95.2586574193926,125.258657419393,1,-16,0,-2.07174476080311,0
7,0.003,7,1,1,1,1,19.1212919036312,72.9995858668519,-92.8605448894889,-57.7071059586051,87.7071059586051,1,-16,1,3.00559359226295,0
7,0.003,7,2,5,5,1,19.1212919036312,72.9995858668519,-110.058953401096,-74.9055144702123,134.390331126241,14,13.4848166560292,0,-1.02944803916945,0
7,0.003,7,3,4,4,1,19.1212919036312,72.9995858668519,-115.304224702245,-80.1507857713615,139.688373266865,30,13.5375874955036,0,7.25939790401893,0
7,0.003,7,4,2,2,1,19.1212919036312,72.9995858668519,-133.198950642696,-98.0455117118126,128.045511711813,1,-16,0,-5.23594149885586,0
7,0.003,9,1,1,1,1,19.1194399683609,73.0024949304309,-104.852923959096,-69.6994850282119,129.472654976212,6,13.7731699480001,0,-0.159887695995466,0
7,0.003,9,2,4,4,1,19.1194399683609,73.0024949304309,-118.386383119225,-83.2329441883414,142.617827936472,21,13.384883748131,0,6.32933501067237,0
7,0.003,9,3,3,3,1,19.1194399683609,73.0024949304309,-127.470177589895,-92.3167386590111,122.316738659011,1,-16,0,5.02408257923779,0
7,0.003,9,4,5,5,1,19.1194399683609,73.0024949304309,-131.981841013874,-96.8284020829902,156.760793012634,12,13.932390929644,0,14.0670444210866,0
7,0.003,14,1,1,1,1,19.1214345880343,72.9994994349317,-107.5466636194,-72.3932246885165,102.393224688516,1,-16,0,0.516185793409846,0
7,0.003,14,2,4,4,1,19.1214345880343,72.9994994349317,-114.562113799559,-79.4086748686756,139.103425120684,30,13.6947502520086,0,6.45787497144904,0
7,0.003,14,3,5,5,1,19.1214345880343,72.9994994349317,-125.205375921529,-90.051936990645,148.91194350648,15,12.8600065158349,0,13.7888999322432,0
7,0.003,14,4,2,2,1,19.1214345880343,72.9994994349317,-130.639792287251,-95.4863533563669,125.486353356367,1,-16,0,-7.98763118872313,0
7,0.003,19,1,1,1,1,19.122724474416,73.0002070163532,-86.4346730482329,-51.2812341173491,109.553174976254,24,12.2719408589048,0,2.20999263211836,0
7,0.003,19,2,4,4,1,19.122724474416,73.0002070163532,-101.253149256339,-66.0997103254548,125.707518067218,31,13.6078077417636,0,-11.2756374001216,0
7,0.003,19,3,5,5,1,19.122724474416,73.0002070163532,-111.881852208875,-76.7284132779916,136.463617734251,18,13.7352044562591,0,-0.479538801560573,0
7,0.003,19,4,3,3,1,19.122724474416,73.0002070163532,-131.803493550212,-96.6500546193286,126.650054619329,1,-16,0,-7.90749661591095,0
7,0.003,26,1,1,1,1,19.1211241484241,73.0005424373571,-88.8893641856281,-53.7359252547443,113.31119824323,6,13.5752729884853,0,-0.660328772805113,0
7,0.003,26,2,4,4,1,19.1211241484241,73.0005424373571,-107.876794283946,-72.7233553530617,130.935643788717,28,12.2122884356556,0,-3.13833102812936,0
7,0.003,26,3,5,5,1,19.1211241484241,73.0005424373571,-112.493471050477,-77.3400321195937,137.048093417846,14,13.708061298252,0,-0.862884301633796,0
7,0.003,26,4,3,3,1,19.1211241484241,73.0005424373571,-135.511850400151,-100.358411469267,130.358411469267,1,-16,0,1.65516638439486,0
7,0.003,27,1,1,1,1,19.1234219312846,73.0052188044362,-109.638765289707,-74.4853263588235,133.966250686151,20,13.4809243273273,0,-1.46567183979933,0
7,0.003,27,2,5,5,1,19.1234219312846,73.0052188044362,-116.75577554077,-81.602336609886,141.378755341946,18,13.7764187320604,0,-5.08527494477414,0
7,0.003,27,3,2,2,1,19.1234219312846,73.0052188044362,-119.722072269458,-84.5686333385737,114.568633338574,1,-16,0,4.4746783920905,0
7,0.003,27,4,4,4,1,19.1234219312846,73.0052188044362,-122.790487845894,-87.6370489150104,146.611063249494,26,12.9740143344837,0,1.54435356854447,0
7,0.003,43,1,1,1,1,19.1220783240426,73.0005806043383,-87.3193634421714,-52.1659245112876,110.489212385143,16,12.3232878738553,0,0.366314804893553,0
7,0.003,43,2,4,4,1,19.1220783240426,73.0005806043383,-116.175568933756,-81.0221300028721,140.842448499728,29,13.8203184968556,0,4.6599190804381,0
7,0.003,43,3,5,5,1,19.1220783240426,73.0005806043383,-116.376501552232,-81.2230626213485,140.531306253503,16,13.3082436321544,0,2.73238378148372,0
