UEID,X_m,Y_m,Z_m,Lat,Lon,Indoor,Speed_kmh,Heading_deg,CoordinateMode,MapAnchorLabel
1,-135.692003307806,-517.656371991807,1.5,19.1175138091961,72.99792690793,0,3,150.083904463032,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
2,58.2038905224306,133.152241853187,1.5,19.1233601261125,72.9997703932148,0,3,321.670466705792,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
3,-94.7226404796391,-554.024279749278,1.5,19.1171871130268,72.9983164260324,0,3,199.260917112097,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
4,207.69726798002,130.800367000905,1.5,19.1233389891555,73.0011917519127,1,3,225.423929118403,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
5,810.42340431313,88.8110101178434,1.5,19.1229616425132,73.0069223565957,0,3,198.949566344322,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
6,-143.254453328499,-653.664508201162,1.5,19.116292026806,72.9978550179846,0,3,157.026384455047,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
7,-213.609863423272,-682.822331822991,1.5,19.1160300914905,72.9971861219051,0,3,59.864296439391,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
8,806.122781152282,-60.5603627932469,1.5,19.1216198183426,73.0068814048281,0,3,155.875097371952,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
9,-463.657146487375,-91.2203666324783,1.5,19.121344501016,72.9948086763127,0,3,133.1263609305,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
10,342.302574375146,-324.36306118138,1.5,19.1192501684386,73.0024714767955,1,3,235.90153598986,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
11,-397.291682702606,127.340816226154,1.5,19.1233078834755,72.9954396158759,0,3,180.838791738591,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
