output_name,prerequisite_name,status,required_condition,observed_value,next_action,source,run_id,run_tag,scenario_id,scenario_variant_id,config_hash,code_commit,seed,drop_id,timestamp_sim_ms,frame,slot,symbol,site_id,sector_id,cell_id,ue_id,direction,bwp_id,carrier_id,beam_id,layer_id,stream_id,harq_id,block_id,pipeline_id,producer_module,status_code,status_classification,source_artifact_ref,source_tensor_ref,derived_flag,active_flag
"compare_runs_kpi_delta_table","paired_baseline_and_candidate_runs","PREREQUISITE_NOT_SATISFIED","Need comparable run group with baseline + candidate","single_run_only","Launch baseline/candidate pair and assign common compare group","reports/csv/output_coverage_registry.csv",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable",NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildCompareRunPrerequisitesTable","partial","runtime_prerequisite_not_satisfied","reports/csv/output_coverage_registry.csv","not_applicable",1,1
"compare_run_overlay_plot","paired_baseline_and_candidate_runs","PREREQUISITE_NOT_SATISFIED","Need comparable run group with baseline + candidate","single_run_only","Launch baseline/candidate pair and assign common compare group","reports/csv/output_coverage_registry.csv",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable",NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildCompareRunPrerequisitesTable","partial","runtime_prerequisite_not_satisfied","reports/csv/output_coverage_registry.csv","not_applicable",1,1
"compare_run_harmonized_alignment","metric_harmonization_ready","PREREQUISITE_NOT_SATISFIED","Need aligned metric schemas across comparable runs","blocked_by_missing_comparable_group","Build comparable-run grouping then harmonize KPI keys","reports/csv/output_coverage_registry.csv",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable",NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildCompareRunPrerequisitesTable","partial","runtime_prerequisite_not_satisfied","reports/csv/output_coverage_registry.csv","not_applicable",1,1
