CategoryCode,CategoryKey,CategoryName,MetricKey,MetricName,Entity,Statistic,Availability,CountsTowardCoverage,ValueNumeric,ValueText,Unit,SourceArtifact,Notes
"C","coding_decoder_outputs","Coding/decoder outputs","decoder_iterations","decoder iterations","DL","mean","observed",1,3.68666666666667,"3.68666666666667","iterations","air_interface/csv/dl_pdsch_trials.csv",""
"C","coding_decoder_outputs","Coding/decoder outputs","decoder_iterations","decoder iterations","DL","p95","observed",1,8,"8","iterations","air_interface/csv/dl_pdsch_trials.csv",""
"C","coding_decoder_outputs","Coding/decoder outputs","decoder_iterations","decoder iterations","DL","max","observed",1,8,"8","iterations","air_interface/csv/dl_pdsch_trials.csv",""
"C","coding_decoder_outputs","Coding/decoder outputs","decoder_iterations","decoder iterations","UL","mean","observed",1,4.63541666666667,"4.63541666666667","iterations","air_interface/csv/ul_pusch_trials.csv",""
"C","coding_decoder_outputs","Coding/decoder outputs","decoder_iterations","decoder iterations","UL","p95","observed",1,8,"8","iterations","air_interface/csv/ul_pusch_trials.csv",""
"C","coding_decoder_outputs","Coding/decoder outputs","decoder_iterations","decoder iterations","UL","max","observed",1,8,"8","iterations","air_interface/csv/ul_pusch_trials.csv",""
"C","coding_decoder_outputs","Coding/decoder outputs","early_stop_rate","early-stop rate","DL","mean","observed",1,0.72,"0.72","fraction","air_interface/csv/dl_pdsch_trials.csv",""
"C","coding_decoder_outputs","Coding/decoder outputs","early_stop_rate","early-stop rate","DL","p95","observed",1,1,"1","fraction","air_interface/csv/dl_pdsch_trials.csv",""
"C","coding_decoder_outputs","Coding/decoder outputs","early_stop_rate","early-stop rate","DL","max","observed",1,1,"1","fraction","air_interface/csv/dl_pdsch_trials.csv",""
"C","coding_decoder_outputs","Coding/decoder outputs","early_stop_rate","early-stop rate","UL","mean","observed",1,0.53125,"0.53125","fraction","air_interface/csv/ul_pusch_trials.csv",""
"C","coding_decoder_outputs","Coding/decoder outputs","early_stop_rate","early-stop rate","UL","p95","observed",1,1,"1","fraction","air_interface/csv/ul_pusch_trials.csv",""
"C","coding_decoder_outputs","Coding/decoder outputs","early_stop_rate","early-stop rate","UL","max","observed",1,1,"1","fraction","air_interface/csv/ul_pusch_trials.csv",""
"C","coding_decoder_outputs","Coding/decoder outputs","computation_complexity","computation complexity","DL","mean","observed",1,34734.9866666667,"34734.9866666667","cb_bit_iterations","air_interface/csv/dl_pdsch_trials.csv",""
"C","coding_decoder_outputs","Coding/decoder outputs","computation_complexity","computation complexity","DL","p95","observed",1,281600,"281600","cb_bit_iterations","air_interface/csv/dl_pdsch_trials.csv",""
"C","coding_decoder_outputs","Coding/decoder outputs","computation_complexity","computation complexity","DL","max","observed",1,473088,"473088","cb_bit_iterations","air_interface/csv/dl_pdsch_trials.csv",""
"C","coding_decoder_outputs","Coding/decoder outputs","computation_complexity","computation complexity","UL","mean","observed",1,62557,"62557","cb_bit_iterations","air_interface/csv/ul_pusch_trials.csv",""
"C","coding_decoder_outputs","Coding/decoder outputs","computation_complexity","computation complexity","UL","p95","observed",1,202752,"202752","cb_bit_iterations","air_interface/csv/ul_pusch_trials.csv",""
"C","coding_decoder_outputs","Coding/decoder outputs","computation_complexity","computation complexity","UL","max","observed",1,225280,"225280","cb_bit_iterations","air_interface/csv/ul_pusch_trials.csv",""
"C","coding_decoder_outputs","Coding/decoder outputs","normalized_decoding_complexity","normalized decoding complexity","DL","mean","observed",1,4.0552591647798,"4.0552591647798","complexity_per_bit","air_interface/csv/dl_pdsch_trials.csv",""
"C","coding_decoder_outputs","Coding/decoder outputs","normalized_decoding_complexity","normalized decoding complexity","DL","p95","observed",1,10.3703703703704,"10.3703703703704","complexity_per_bit","air_interface/csv/dl_pdsch_trials.csv",""
"C","coding_decoder_outputs","Coding/decoder outputs","normalized_decoding_complexity","normalized decoding complexity","DL","max","observed",1,11.4285714285714,"11.4285714285714","complexity_per_bit","air_interface/csv/dl_pdsch_trials.csv",""
"C","coding_decoder_outputs","Coding/decoder outputs","normalized_decoding_complexity","normalized decoding complexity","UL","mean","observed",1,4.92796624996368,"4.92796624996368","complexity_per_bit","air_interface/csv/ul_pusch_trials.csv",""
"C","coding_decoder_outputs","Coding/decoder outputs","normalized_decoding_complexity","normalized decoding complexity","UL","p95","observed",1,8.77390700902151,"8.77390700902151","complexity_per_bit","air_interface/csv/ul_pusch_trials.csv",""
"C","coding_decoder_outputs","Coding/decoder outputs","normalized_decoding_complexity","normalized decoding complexity","UL","max","observed",1,8.99361249112846,"8.99361249112846","complexity_per_bit","air_interface/csv/ul_pusch_trials.csv",""
"C","coding_decoder_outputs","Coding/decoder outputs","latency_per_decode","decode compute latency","DL_compute","mean","observed",1,17.038766,"17.038766","ms","air_interface/csv/dl_pdsch_trials.csv","Latency-per-decode rows are exported from ComputeLatency_ms wall-clock decoder runtime. Radio/procedure delay remains in separate explicit metrics."
"C","coding_decoder_outputs","Coding/decoder outputs","latency_per_decode","decode compute latency","DL_compute","p95","observed",1,94.4947,"94.4947","ms","air_interface/csv/dl_pdsch_trials.csv","Latency-per-decode rows are exported from ComputeLatency_ms wall-clock decoder runtime. Radio/procedure delay remains in separate explicit metrics."
"C","coding_decoder_outputs","Coding/decoder outputs","latency_per_decode","decode compute latency","DL_compute","max","observed",1,116.2021,"116.2021","ms","air_interface/csv/dl_pdsch_trials.csv","Latency-per-decode rows are exported from ComputeLatency_ms wall-clock decoder runtime. Radio/procedure delay remains in separate explicit metrics."
"C","coding_decoder_outputs","Coding/decoder outputs","latency_per_decode","decode compute latency","UL_compute","mean","observed",1,21.183365625,"21.183365625","ms","air_interface/csv/ul_pusch_trials.csv","Latency-per-decode rows are exported from ComputeLatency_ms wall-clock decoder runtime. Radio/procedure delay remains in separate explicit metrics."
"C","coding_decoder_outputs","Coding/decoder outputs","latency_per_decode","decode compute latency","UL_compute","p95","observed",1,53.94613,"53.94613","ms","air_interface/csv/ul_pusch_trials.csv","Latency-per-decode rows are exported from ComputeLatency_ms wall-clock decoder runtime. Radio/procedure delay remains in separate explicit metrics."
"C","coding_decoder_outputs","Coding/decoder outputs","latency_per_decode","decode compute latency","UL_compute","max","observed",1,62.909,"62.909","ms","air_interface/csv/ul_pusch_trials.csv","Latency-per-decode rows are exported from ComputeLatency_ms wall-clock decoder runtime. Radio/procedure delay remains in separate explicit metrics."
"C","coding_decoder_outputs","Coding/decoder outputs","area_efficiency_proxy","area-efficiency proxy","DL","mean","observed",1,0.42363430234801,"0.42363430234801","bits_per_complexity_unit","air_interface/csv/dl_pdsch_trials.csv",""
"C","coding_decoder_outputs","Coding/decoder outputs","area_efficiency_proxy","area-efficiency proxy","DL","p95","observed",1,0.965625,"0.965625","bits_per_complexity_unit","air_interface/csv/dl_pdsch_trials.csv",""
"C","coding_decoder_outputs","Coding/decoder outputs","area_efficiency_proxy","area-efficiency proxy","DL","max","observed",1,0.989285714285714,"0.989285714285714","bits_per_complexity_unit","air_interface/csv/dl_pdsch_trials.csv",""
"C","coding_decoder_outputs","Coding/decoder outputs","area_efficiency_proxy","area-efficiency proxy","UL","mean","observed",1,0.457658623936367,"0.457658623936367","bits_per_complexity_unit","air_interface/csv/ul_pusch_trials.csv",""
"C","coding_decoder_outputs","Coding/decoder outputs","area_efficiency_proxy","area-efficiency proxy","UL","p95","observed",1,0.976051136363636,"0.976051136363636","bits_per_complexity_unit","air_interface/csv/ul_pusch_trials.csv",""
"C","coding_decoder_outputs","Coding/decoder outputs","area_efficiency_proxy","area-efficiency proxy","UL","max","observed",1,0.98125,"0.98125","bits_per_complexity_unit","air_interface/csv/ul_pusch_trials.csv",""
"C","coding_decoder_outputs","Coding/decoder outputs","snr_gain_same_complexity","SNR gain at same complexity","DL","low_reference","not_available",0,NaN,"no_valid_comparator","","air_interface/csv/lls_reference_snr_sweep.csv|air_interface/csv/lls_snr_sweep.csv","no_valid_comparator: both the adaptive and fixed-reference sweeps need at least two usable complexity points."
"C","coding_decoder_outputs","Coding/decoder outputs","snr_gain_same_complexity","SNR gain at same complexity","DL","median_reference","not_available",0,NaN,"no_valid_comparator","","air_interface/csv/lls_reference_snr_sweep.csv|air_interface/csv/lls_snr_sweep.csv","no_valid_comparator: both the adaptive and fixed-reference sweeps need at least two usable complexity points."
"C","coding_decoder_outputs","Coding/decoder outputs","snr_gain_same_complexity","SNR gain at same complexity","DL","high_reference","not_available",0,NaN,"no_valid_comparator","","air_interface/csv/lls_reference_snr_sweep.csv|air_interface/csv/lls_snr_sweep.csv","no_valid_comparator: both the adaptive and fixed-reference sweeps need at least two usable complexity points."
"C","coding_decoder_outputs","Coding/decoder outputs","snr_gain_same_complexity","SNR gain at same complexity","UL","low_reference","not_available",0,NaN,"no_valid_comparator","","air_interface/csv/lls_reference_snr_sweep.csv|air_interface/csv/lls_snr_sweep.csv","no_valid_comparator: both the adaptive and fixed-reference sweeps need at least two usable complexity points."
"C","coding_decoder_outputs","Coding/decoder outputs","snr_gain_same_complexity","SNR gain at same complexity","UL","median_reference","not_available",0,NaN,"no_valid_comparator","","air_interface/csv/lls_reference_snr_sweep.csv|air_interface/csv/lls_snr_sweep.csv","no_valid_comparator: both the adaptive and fixed-reference sweeps need at least two usable complexity points."
"C","coding_decoder_outputs","Coding/decoder outputs","snr_gain_same_complexity","SNR gain at same complexity","UL","high_reference","not_available",0,NaN,"no_valid_comparator","","air_interface/csv/lls_reference_snr_sweep.csv|air_interface/csv/lls_snr_sweep.csv","no_valid_comparator: both the adaptive and fixed-reference sweeps need at least two usable complexity points."
"C","coding_decoder_outputs","Coding/decoder outputs","complexity_reduction_same_bler","complexity reduction at same BLER","DL","10pct","not_available",0,NaN,"no_valid_comparator","","air_interface/csv/lls_reference_snr_sweep.csv|air_interface/csv/lls_snr_sweep.csv","no_valid_comparator: both the adaptive and fixed-reference sweeps need usable BLER and complexity curves."
"C","coding_decoder_outputs","Coding/decoder outputs","complexity_reduction_same_bler","complexity reduction at same BLER","DL","1pct","not_available",0,NaN,"no_valid_comparator","","air_interface/csv/lls_reference_snr_sweep.csv|air_interface/csv/lls_snr_sweep.csv","no_valid_comparator: both the adaptive and fixed-reference sweeps need usable BLER and complexity curves."
"C","coding_decoder_outputs","Coding/decoder outputs","complexity_reduction_same_bler","complexity reduction at same BLER","DL","0_1pct","not_available",0,NaN,"no_valid_comparator","","air_interface/csv/lls_reference_snr_sweep.csv|air_interface/csv/lls_snr_sweep.csv","no_valid_comparator: both the adaptive and fixed-reference sweeps need usable BLER and complexity curves."
