timestamp_sim_ms,ue_id,cell_id,report_id,report_type,wideband_cqi,subband_cqi_vector_ref,pmi,ri,csi_age_ms,report_size_bits,report_trigger,based_on,feedback_delay_ms,direction,run_id,run_tag,scenario_id,scenario_variant_id,config_hash,code_commit,seed,drop_id,frame,slot,symbol,site_id,sector_id,bwp_id,carrier_id,beam_id,layer_id,stream_id,harq_id,block_id,pipeline_id,producer_module,status_code,status_classification,source_artifact_ref,source_tensor_ref,derived_flag,active_flag
NaN,4,2,11,"scheduler_observation",15,"not_applicable",NaN,NaN,NaN,NaN,"grant_selection","unknown",NaN,"DL",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildCQIPMIRITable","implemented","derived_from_scheduler_grants","packet_flow/csv/live_dl_scheduler_grants.csv","not_applicable",1,1
NaN,6,2,12,"scheduler_observation",15,"not_applicable",NaN,NaN,NaN,NaN,"grant_selection","unknown",NaN,"DL",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildCQIPMIRITable","implemented","derived_from_scheduler_grants","packet_flow/csv/live_dl_scheduler_grants.csv","not_applicable",1,1
NaN,10,2,13,"scheduler_observation",15,"not_applicable",NaN,NaN,NaN,NaN,"grant_selection","unknown",NaN,"DL",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildCQIPMIRITable","implemented","derived_from_scheduler_grants","packet_flow/csv/live_dl_scheduler_grants.csv","not_applicable",1,1
NaN,29,2,14,"scheduler_observation",15,"not_applicable",NaN,NaN,NaN,NaN,"grant_selection","unknown",NaN,"DL",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildCQIPMIRITable","implemented","derived_from_scheduler_grants","packet_flow/csv/live_dl_scheduler_grants.csv","not_applicable",1,1
NaN,35,2,15,"scheduler_observation",15,"not_applicable",NaN,NaN,NaN,NaN,"grant_selection","unknown",NaN,"DL",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildCQIPMIRITable","implemented","derived_from_scheduler_grants","packet_flow/csv/live_dl_scheduler_grants.csv","not_applicable",1,1
NaN,41,2,16,"scheduler_observation",15,"not_applicable",NaN,NaN,NaN,NaN,"grant_selection","unknown",NaN,"DL",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildCQIPMIRITable","implemented","derived_from_scheduler_grants","packet_flow/csv/live_dl_scheduler_grants.csv","not_applicable",1,1
NaN,45,2,17,"scheduler_observation",15,"not_applicable",NaN,NaN,NaN,NaN,"grant_selection","unknown",NaN,"DL",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildCQIPMIRITable","implemented","derived_from_scheduler_grants","packet_flow/csv/live_dl_scheduler_grants.csv","not_applicable",1,1
NaN,50,2,18,"scheduler_observation",15,"not_applicable",NaN,NaN,NaN,NaN,"grant_selection","unknown",NaN,"DL",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildCQIPMIRITable","implemented","derived_from_scheduler_grants","packet_flow/csv/live_dl_scheduler_grants.csv","not_applicable",1,1
NaN,2,3,19,"scheduler_observation",15,"not_applicable",NaN,NaN,NaN,NaN,"grant_selection","unknown",NaN,"DL",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildCQIPMIRITable","implemented","derived_from_scheduler_grants","packet_flow/csv/live_dl_scheduler_grants.csv","not_applicable",1,1
NaN,12,3,20,"scheduler_observation",15,"not_applicable",NaN,NaN,NaN,NaN,"grant_selection","unknown",NaN,"DL",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildCQIPMIRITable","implemented","derived_from_scheduler_grants","packet_flow/csv/live_dl_scheduler_grants.csv","not_applicable",1,1
NaN,13,3,21,"scheduler_observation",15,"not_applicable",NaN,NaN,NaN,NaN,"grant_selection","unknown",NaN,"DL",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildCQIPMIRITable","implemented","derived_from_scheduler_grants","packet_flow/csv/live_dl_scheduler_grants.csv","not_applicable",1,1
NaN,15,3,22,"scheduler_observation",15,"not_applicable",NaN,NaN,NaN,NaN,"grant_selection","unknown",NaN,"DL",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildCQIPMIRITable","implemented","derived_from_scheduler_grants","packet_flow/csv/live_dl_scheduler_grants.csv","not_applicable",1,1
NaN,16,3,23,"scheduler_observation",15,"not_applicable",NaN,NaN,NaN,NaN,"grant_selection","unknown",NaN,"DL",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildCQIPMIRITable","implemented","derived_from_scheduler_grants","packet_flow/csv/live_dl_scheduler_grants.csv","not_applicable",1,1
NaN,18,3,24,"scheduler_observation",15,"not_applicable",NaN,NaN,NaN,NaN,"grant_selection","unknown",NaN,"DL",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildCQIPMIRITable","implemented","derived_from_scheduler_grants","packet_flow/csv/live_dl_scheduler_grants.csv","not_applicable",1,1
NaN,23,3,25,"scheduler_observation",15,"not_applicable",NaN,NaN,NaN,NaN,"grant_selection","unknown",NaN,"DL",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildCQIPMIRITable","implemented","derived_from_scheduler_grants","packet_flow/csv/live_dl_scheduler_grants.csv","not_applicable",1,1
NaN,24,3,26,"scheduler_observation",15,"not_applicable",NaN,NaN,NaN,NaN,"grant_selection","unknown",NaN,"DL",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildCQIPMIRITable","implemented","derived_from_scheduler_grants","packet_flow/csv/live_dl_scheduler_grants.csv","not_applicable",1,1
NaN,33,3,27,"scheduler_observation",15,"not_applicable",NaN,NaN,NaN,NaN,"grant_selection","unknown",NaN,"DL",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildCQIPMIRITable","implemented","derived_from_scheduler_grants","packet_flow/csv/live_dl_scheduler_grants.csv","not_applicable",1,1
NaN,34,3,28,"scheduler_observation",15,"not_applicable",NaN,NaN,NaN,NaN,"grant_selection","unknown",NaN,"DL",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildCQIPMIRITable","implemented","derived_from_scheduler_grants","packet_flow/csv/live_dl_scheduler_grants.csv","not_applicable",1,1
NaN,20,4,29,"scheduler_observation",15,"not_applicable",NaN,NaN,NaN,NaN,"grant_selection","unknown",NaN,"DL",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildCQIPMIRITable","implemented","derived_from_scheduler_grants","packet_flow/csv/live_dl_scheduler_grants.csv","not_applicable",1,1
NaN,22,4,30,"scheduler_observation",15,"not_applicable",NaN,NaN,NaN,NaN,"grant_selection","unknown",NaN,"DL",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildCQIPMIRITable","implemented","derived_from_scheduler_grants","packet_flow/csv/live_dl_scheduler_grants.csv","not_applicable",1,1
NaN,32,4,31,"scheduler_observation",15,"not_applicable",NaN,NaN,NaN,NaN,"grant_selection","unknown",NaN,"DL",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildCQIPMIRITable","implemented","derived_from_scheduler_grants","packet_flow/csv/live_dl_scheduler_grants.csv","not_applicable",1,1
NaN,37,4,32,"scheduler_observation",15,"not_applicable",NaN,NaN,NaN,NaN,"grant_selection","unknown",NaN,"DL",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildCQIPMIRITable","implemented","derived_from_scheduler_grants","packet_flow/csv/live_dl_scheduler_grants.csv","not_applicable",1,1
NaN,38,4,33,"scheduler_observation",15,"not_applicable",NaN,NaN,NaN,NaN,"grant_selection","unknown",NaN,"DL",1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildCQIPMIRITable","implemented","derived_from_scheduler_grants","packet_flow/csv/live_dl_scheduler_grants.csv","not_applicable",1,1
