Direction,SNR_dB,Frame,Slot,SampleIndex,Time_s,TxReal,TxImag,TxMagnitude,RxReal,RxImag,RxMagnitude,UEIndex,RNTI
"UL",12,10,10,1,0,0.00186973775406657,-0.000716166368282479,0.00200220217162024,2.4580830801658e-10,6.54173029022328e-10,6.9883050605295e-10,39,39
"UL",12,10,10,242,1.96126302083333e-06,0.00193736158567758,-0.00158928305309158,0.00250583130647361,4.73444856648886e-10,7.69423528523583e-10,9.03417178568664e-10,39,39
"UL",12,10,10,483,3.92252604166667e-06,-0.00290543918622343,-0.00389621040983584,0.00486025024279161,8.00556162875492e-10,-1.39315419481925e-09,1.606788343392e-09,39,39
"UL",12,10,10,724,5.8837890625e-06,0.00143304399502109,0.00023523869819605,0.00145222323931101,2.04030206996534e-10,3.960836222206e-10,4.45545240304999e-10,39,39
"UL",12,10,10,965,7.84505208333333e-06,0.00327746283553883,-0.00131503046081606,0.00353143989772052,5.11883275722126e-10,6.45403885779818e-10,8.23754006814961e-10,39,39
"UL",12,10,10,1206,9.80631510416667e-06,0.00270571679266082,0.00048535175571987,0.00274890336113642,1.57144325181366e-10,7.32231088013894e-10,7.4890366883246e-10,39,39
"UL",12,10,10,1447,1.1767578125e-05,-0.00331641383937735,-0.00106530078209718,0.00348331257718145,3.68985318574597e-10,-9.83190754564319e-10,1.05014962038004e-09,39,39
"UL",12,10,10,1688,1.37288411458333e-05,-0.000480046397709276,-0.000582015311973741,0.000754444409698649,2.14849834844247e-10,-1.82211179791386e-10,2.81711493506334e-10,39,39
"UL",12,10,10,1928,1.56819661458333e-05,-0.00523024984253241,-0.00201345515034058,0.00560441924357407,3.76469685799939e-10,-1.79819611117337e-09,1.83718226601645e-09,39,39
"UL",12,10,10,2169,1.76432291666667e-05,-0.00196979177765738,0.00177371398148736,0.00265068687993327,-5.94028952792462e-10,-9.87968906066798e-10,1.15280221899098e-09,39,39
"UL",12,10,10,2410,1.96044921875e-05,0.000390756375897983,-0.00016521918222831,0.000424249836159211,7.15625400742755e-11,6.25346982460867e-11,9.50357071137549e-11,39,39
"UL",12,10,10,2651,2.15657552083333e-05,-0.00294700794447018,0.000951361651256965,0.00309676360354689,-4.26228109081232e-10,-8.26405673881716e-10,9.29847696558343e-10,39,39
"UL",12,10,10,2892,2.35270182291667e-05,-0.00208528733370583,0.00228552587820381,0.00309387326890635,-7.61374104322451e-10,-4.84799260198981e-10,9.02618883816583e-10,39,39
"UL",12,10,10,3133,2.548828125e-05,-0.00210664346822775,0.000928026808988794,0.00230199488714215,-3.83176075058914e-10,-3.39769311593153e-10,5.12120190578383e-10,39,39
"UL",12,10,10,3374,2.74495442708333e-05,0.000648791130645298,-0.00193352632389155,0.00203947394599333,6.88368948970751e-10,1.75910559731288e-11,6.88593679289424e-10,39,39
"UL",12,10,10,3615,2.94108072916667e-05,-0.00085537539679726,-0.00397052607145707,0.00406161844017461,1.29668609161284e-09,-4.1624684137875e-10,1.36185764789862e-09,39,39
"UL",12,10,10,3856,3.13720703125e-05,0.00366427306231061,0.00203893236826903,0.0041933449986318,-3.06262896318553e-10,1.21050405784687e-09,1.24864608105146e-09,39,39
"UL",12,10,10,4097,3.33333333333333e-05,0.00186973775406657,-0.000716166368282479,0.00200220217162024,1.79530928686667e-10,4.28245031786785e-10,4.64354564535724e-10,39,39
"UL",12,10,10,4338,3.52945963541667e-05,0.0019363380333716,-0.0015747419494928,0.00249583997623521,4.9812437850068e-10,7.61328904839925e-10,9.09807450948522e-10,39,39
"UL",12,10,10,4579,3.7255859375e-05,-0.00100551094107947,0.00147394214020639,0.00178425269659505,-3.08028771184995e-10,-5.74366305809737e-10,6.51750241371081e-10,39,39
