Direction,TraceSource,SNR_dB,Metric,MeanValue,P05Value,P95Value,SampleCount
"DL","dl_pdsch_trials",12,"SelectedBeamIndex",1.57333333333333,1,2,150
"DL","dl_pdsch_trials",12,"BestBeamIndex",10.5066666666667,1,31,150
"DL","dl_pdsch_trials",12,"BeamHit",0.28,0,1,150
"DL","dl_pdsch_trials",12,"TopKBeamHit",0.393333333333333,0,1,150
"DL","dl_pdsch_trials",12,"BeamCandidateCount",32,32,32,150
"DL","dl_pdsch_trials",12,"SelectedBeamGain_dB",-129.435438168977,-156.53559774527,-95.9377825884442,150
"DL","dl_pdsch_trials",12,"BestBeamGain_dB",-129.092562276273,-156.53559774527,-95.9096420314777,150
"DL","dl_pdsch_trials",12,"BeamGainGap_dB",0.342875892703818,0,1.43137958238592,150
"DL","dl_pdsch_trials",12,"PMI",10.1133333333333,0,31,150
"UL","ul_pusch_trials",12,"SelectedBeamIndex",1,1,1,96
"UL","ul_pusch_trials",12,"BestBeamIndex",1,1,1,96
"UL","ul_pusch_trials",12,"BeamHit",1,1,1,96
"UL","ul_pusch_trials",12,"TopKBeamHit",1,1,1,96
"UL","ul_pusch_trials",12,"BeamCandidateCount",32,32,32,96
"UL","ul_pusch_trials",12,"SelectedBeamGain_dB",-125.374542766258,-141.628946685811,-105.151743460425,96
"UL","ul_pusch_trials",12,"BestBeamGain_dB",-125.374542766258,-141.628946685811,-105.151743460425,96
"UL","ul_pusch_trials",12,"BeamGainGap_dB",0,0,0,96
"UL","ul_pusch_trials",12,"PMI",0,0,0,96
