FamilyID,PairID,Metric,BaselineMean,TreatmentMean,Effect,CILower,CIUpper,PValue,AdjustedPValue,EffectSize,Conclusion,Status,ExecutionBackend,ApproximationMode,EvidenceClass
F01,F01-P01,DeliveredBits,968,880,-88,-88,-88,0,0,-0.090909,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P01,Latency_ms,2358.2309,26.425,-2331.8059,-2331.8059,-2331.8059,0,0,-0.98879,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P01,Runtime_ms,2358.2309,26.425,-2331.8059,-2331.8059,-2331.8059,0,0,-0.98879,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P02,DeliveredBits,968,880,-88,-88,-88,0,0,-0.090909,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P02,Latency_ms,14.4738,12.5372,-1.9366,-1.9366,-1.9366,0,0,-0.1338,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P02,Runtime_ms,14.4738,12.5372,-1.9366,-1.9366,-1.9366,0,0,-0.1338,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P03,DeliveredBits,968,880,-88,-88,-88,0,0,-0.090909,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P03,Latency_ms,43.8495,2.4649,-41.3846,-41.3846,-41.3846,0,0,-0.94379,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P03,Runtime_ms,43.8495,2.4649,-41.3846,-41.3846,-41.3846,0,0,-0.94379,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P04,DeliveredBits,968,880,-88,-88,-88,0,0,-0.090909,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P04,Latency_ms,3.1,2,-1.1,-1.1,-1.1,0,0,-0.35484,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P04,Runtime_ms,1.9385,1.4956,-0.4429,-0.4429,-0.4429,0,0,-0.22848,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P05,DeliveredBits,968,880,-88,-88,-88,0,0,-0.090909,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P05,Latency_ms,3.1,2,-1.1,-1.1,-1.1,0,0,-0.35484,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P05,Runtime_ms,1.7744,1.6069,-0.1675,-0.1675,-0.1675,0,0,-0.094398,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P06,DeliveredBits,968,880,-88,-88,-88,0,0,-0.090909,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P06,Latency_ms,3.1,2,-1.1,-1.1,-1.1,0,0,-0.35484,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P06,Runtime_ms,1.3433,1.246,-0.0973,-0.0973,-0.0973,0,0,-0.072434,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P01,DeliveredBits,944,968,24,24,24,0,0,0.025424,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P01,Latency_ms,2.8,3.1,0.3,0.3,0.3,0,0,0.10714,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P01,Runtime_ms,1.229,1.2269,-0.0021,-0.0021,-0.0021,0,0,-0.0017087,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P02,DeliveredBits,944,968,24,24,24,0,0,0.025424,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P02,Latency_ms,2.8,3.1,0.3,0.3,0.3,0,0,0.10714,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P02,Runtime_ms,1.5003,1.3063,-0.194,-0.194,-0.194,0,0,-0.12931,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P03,DeliveredBits,944,968,24,24,24,0,0,0.025424,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P03,Latency_ms,2.8,3.1,0.3,0.3,0.3,0,0,0.10714,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P03,Runtime_ms,1.1863,1.1717,-0.0146,-0.0146,-0.0146,0,0,-0.012307,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P04,DeliveredBits,944,968,24,24,24,0,0,0.025424,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P04,Latency_ms,2.8,3.1,0.3,0.3,0.3,0,0,0.10714,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P04,Runtime_ms,1.1565,1.4085,0.252,0.252,0.252,0,0,0.2179,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P05,DeliveredBits,944,968,24,24,24,0,0,0.025424,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P05,Latency_ms,2.8,3.1,0.3,0.3,0.3,0,0,0.10714,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P05,Runtime_ms,1.2009,1.2087,0.0078,0.0078,0.0078,0,0,0.0064951,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P06,DeliveredBits,944,968,24,24,24,0,0,0.025424,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P06,Latency_ms,2.8,3.1,0.3,0.3,0.3,0,0,0.10714,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P06,Runtime_ms,1.1657,1.1968,0.0311,0.0311,0.0311,0,0,0.026679,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P01,DeliveredBits,848,896,48,48,48,0,0,0.056604,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P01,Latency_ms,1.6,2.2,0.6,0.6,0.6,0,0,0.375,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P01,Runtime_ms,1.5468,1.2778,-0.269,-0.269,-0.269,0,0,-0.17391,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P02,DeliveredBits,848,896,48,48,48,0,0,0.056604,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P02,Latency_ms,1.6,2.2,0.6,0.6,0.6,0,0,0.375,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P02,Runtime_ms,1.2542,1.204,-0.0502,-0.0502,-0.0502,0,0,-0.040026,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P03,DeliveredBits,848,896,48,48,48,0,0,0.056604,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P03,Latency_ms,1.9561,2.2,0.2439,0.2439,0.2439,0,0,0.12469,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P03,Runtime_ms,1.9561,1.5408,-0.4153,-0.4153,-0.4153,0,0,-0.21231,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P04,DeliveredBits,848,896,48,48,48,0,0,0.056604,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P04,Latency_ms,1.7135,2.2,0.4865,0.4865,0.4865,0,0,0.28392,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P04,Runtime_ms,1.7135,1.6831,-0.0304,-0.0304,-0.0304,0,0,-0.017741,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P05,DeliveredBits,848,896,48,48,48,0,0,0.056604,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P05,Latency_ms,2.5301,2.2,-0.3301,-0.3301,-0.3301,0,0,-0.13047,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P05,Runtime_ms,2.5301,1.6155,-0.9146,-0.9146,-0.9146,0,0,-0.36149,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P06,DeliveredBits,848,896,48,48,48,0,0,0.056604,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P06,Latency_ms,1.6029,2.219,0.6161,0.6161,0.6161,0,0,0.38437,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P06,Runtime_ms,1.6029,2.219,0.6161,0.6161,0.6161,0,0,0.38437,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04,F04-P01,DeliveredBits,840,832,-8,-8,-8,0,0,-0.0095238,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04,F04-P01,Latency_ms,2.1374,2.1424,0.005,0.005,0.005,0,0,0.0023393,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04,F04-P01,Runtime_ms,2.1374,2.1424,0.005,0.005,0.005,0,0,0.0023393,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04,F04-P02,DeliveredBits,840,832,-8,-8,-8,0,0,-0.0095238,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04,F04-P02,Latency_ms,1.5789,1.723,0.1441,0.1441,0.1441,0,0,0.091266,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04,F04-P02,Runtime_ms,1.5789,1.723,0.1441,0.1441,0.1441,0,0,0.091266,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04,F04-P03,DeliveredBits,840,832,-8,-8,-8,0,0,-0.0095238,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04,F04-P03,Latency_ms,1.8132,1.8615,0.0483,0.0483,0.0483,0,0,0.026638,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04,F04-P03,Runtime_ms,1.8132,1.8615,0.0483,0.0483,0.0483,0,0,0.026638,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04,F04-P04,DeliveredBits,840,832,-8,-8,-8,0,0,-0.0095238,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04,F04-P04,Latency_ms,1.5348,1.7815,0.2467,0.2467,0.2467,0,0,0.16074,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04,F04-P04,Runtime_ms,1.5348,1.7815,0.2467,0.2467,0.2467,0,0,0.16074,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04,F04-P05,DeliveredBits,840,832,-8,-8,-8,0,0,-0.0095238,measured_component_effect,PASS,analytical_component_evaluation,component_proxy,study_not_truth
