ExperimentID,FamilyID,PairID,Variant,Trials,Errors,Incomplete,StopReason,BLER,CILower,CIUpper,MeanLatency_ms,MeanGoodputMbps,MeanFairness,MeanRuntime_ms,Status,ExecutionBackend,ApproximationMode,EvidenceClass
F01-P01-B,F01,F01-P01,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,2358.2309,0.00041048,1,2358.2309,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01-P01-T,F01,F01-P01,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,26.425,0.033302,1,26.425,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01-P02-B,F01,F01-P02,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,14.4738,0.066879,1,14.4738,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01-P02-T,F01,F01-P02,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,12.5372,0.070191,1,12.5372,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01-P03-B,F01,F01-P03,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,43.8495,0.022076,1,43.8495,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01-P03-T,F01,F01-P03,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,2.4649,0.35701,1,2.4649,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01-P04-B,F01,F01-P04,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,3.1,0.31226,1,1.9385,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01-P04-T,F01,F01-P04,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,2,0.44,1,1.4956,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01-P05-B,F01,F01-P05,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,3.1,0.31226,1,1.7744,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01-P05-T,F01,F01-P05,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,2,0.44,1,1.6069,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01-P06-B,F01,F01-P06,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,3.1,0.31226,1,1.3433,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01-P06-T,F01,F01-P06,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,2,0.44,1,1.246,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02-P01-B,F02,F02-P01,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,2.8,0.33714,1,1.229,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02-P01-T,F02,F02-P01,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,3.1,0.31226,1,1.2269,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02-P02-B,F02,F02-P02,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,2.8,0.33714,1,1.5003,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02-P02-T,F02,F02-P02,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,3.1,0.31226,1,1.3063,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02-P03-B,F02,F02-P03,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,2.8,0.33714,1,1.1863,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02-P03-T,F02,F02-P03,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,3.1,0.31226,1,1.1717,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02-P04-B,F02,F02-P04,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,2.8,0.33714,1,1.1565,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02-P04-T,F02,F02-P04,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,3.1,0.31226,1,1.4085,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02-P05-B,F02,F02-P05,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,2.8,0.33714,1,1.2009,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02-P05-T,F02,F02-P05,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,3.1,0.31226,1,1.2087,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02-P06-B,F02,F02-P06,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,2.8,0.33714,1,1.1657,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02-P06-T,F02,F02-P06,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,3.1,0.31226,1,1.1968,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03-P01-B,F03,F03-P01,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,1.6,0.53,1,1.5468,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03-P01-T,F03,F03-P01,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,2.2,0.40727,1,1.2778,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03-P02-B,F03,F03-P02,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,1.6,0.53,1,1.2542,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03-P02-T,F03,F03-P02,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,2.2,0.40727,1,1.204,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03-P03-B,F03,F03-P03,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,1.9561,0.43352,1,1.9561,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03-P03-T,F03,F03-P03,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,2.2,0.40727,1,1.5408,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03-P04-B,F03,F03-P04,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,1.7135,0.49489,1,1.7135,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03-P04-T,F03,F03-P04,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,2.2,0.40727,1,1.6831,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03-P05-B,F03,F03-P05,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,2.5301,0.33516,1,2.5301,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03-P05-T,F03,F03-P05,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,2.2,0.40727,1,1.6155,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03-P06-B,F03,F03-P06,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,1.6029,0.52904,1,1.6029,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03-P06-T,F03,F03-P06,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,2.219,0.40379,1,2.219,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04-P01-B,F04,F04-P01,baseline,10000,0,false,exact_vector_complete,0,0,0.00027048,2.1374,0.393,1,2.1374,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04-P01-T,F04,F04-P01,treatment,10000,0,false,exact_vector_complete,0,0,0.00027048,2.1424,0.38835,1,2.1424,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04-P02-B,F04,F04-P02,baseline,10000,0,false,exact_vector_complete,0,0,0.00027048,1.5789,0.53202,1,1.5789,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04-P02-T,F04,F04-P02,treatment,10000,0,false,exact_vector_complete,0,0,0.00027048,1.723,0.48288,1,1.723,PASS,analytical_component_evaluation,component_proxy,study_not_truth
