ExperimentID,FamilyID,PairID,Variant,TrialIndex,Seed,PayloadID,ChannelRealizationID,NoiseRealizationID,Direction,Outcome,Latency_ms,DeliveredBits,DroppedBits,HARQAttempts,Runtime_ms,Status,ExecutionBackend,ApproximationMode,EvidenceClass
F04-P02-B,F04,F04-P02,baseline,1,23,PAY04-02,CH04-02,NO04-02,UL,invariant_pass,1.5789,840,0,1,1.5789,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04-P02-T,F04,F04-P02,treatment,1,23,PAY04-02,CH04-02,NO04-02,UL,invariant_pass,1.723,832,0,1,1.723,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04-P03-B,F04,F04-P03,baseline,1,47,PAY04-03,CH04-03,NO04-03,UL,invariant_pass,1.8132,840,0,1,1.8132,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04-P03-T,F04,F04-P03,treatment,1,47,PAY04-03,CH04-03,NO04-03,UL,invariant_pass,1.8615,832,0,1,1.8615,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04-P04-B,F04,F04-P04,baseline,1,89,PAY04-04,CH04-04,NO04-04,UL,invariant_pass,1.5348,840,0,1,1.5348,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04-P04-T,F04,F04-P04,treatment,1,89,PAY04-04,CH04-04,NO04-04,UL,invariant_pass,1.7815,832,0,1,1.7815,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04-P05-B,F04,F04-P05,baseline,1,131,PAY04-05,CH04-05,NO04-05,UL,invariant_pass,1.829,840,0,1,1.829,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04-P05-T,F04,F04-P05,treatment,1,131,PAY04-05,CH04-05,NO04-05,UL,invariant_pass,2.179,832,0,1,2.179,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04-P06-B,F04,F04-P06,baseline,1,197,PAY04-06,CH04-06,NO04-06,UL,invariant_pass,2.3261,840,0,1,2.3261,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04-P06-T,F04,F04-P06,treatment,1,197,PAY04-06,CH04-06,NO04-06,UL,invariant_pass,2.3409,832,0,1,2.3409,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F05-P01-B,F05,F05-P01,baseline,1,11,PAY05-01,CH05-01,NO05-01,DL,RETX_PENDING,33.4985,0,800,2,33.4985,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F05-P01-T,F05,F05-P01,treatment,1,11,PAY05-01,CH05-01,NO05-01,DL,RETX_PENDING,19.1023,0,800,2,19.1023,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F05-P02-B,F05,F05-P02,baseline,1,23,PAY05-02,CH05-02,NO05-02,DL,RETX_PENDING,5.6704,0,800,2,5.6704,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F05-P02-T,F05,F05-P02,treatment,1,23,PAY05-02,CH05-02,NO05-02,DL,RETX_PENDING,5.578,0,800,2,5.578,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F05-P03-B,F05,F05-P03,baseline,1,47,PAY05-03,CH05-03,NO05-03,DL,RETX_PENDING,20.274,0,800,2,20.274,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F05-P03-T,F05,F05-P03,treatment,1,47,PAY05-03,CH05-03,NO05-03,DL,RETX_PENDING,3.9,0,800,2,3.1628,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F05-P04-B,F05,F05-P04,baseline,1,89,PAY05-04,CH05-04,NO05-04,DL,RETX_PENDING,2.0906,0,800,2,2.0906,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F05-P04-T,F05,F05-P04,treatment,1,89,PAY05-04,CH05-04,NO05-04,DL,RETX_PENDING,3.9,0,800,2,1.8364,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F05-P05-B,F05,F05-P05,baseline,1,131,PAY05-05,CH05-05,NO05-05,DL,RETX_PENDING,1.9791,0,800,2,1.9791,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F05-P05-T,F05,F05-P05,treatment,1,131,PAY05-05,CH05-05,NO05-05,DL,RETX_PENDING,3.9,0,800,2,1.901,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F05-P06-B,F05,F05-P06,baseline,1,197,PAY05-06,CH05-06,NO05-06,DL,RETX_PENDING,1.8796,0,800,2,1.8796,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F05-P06-T,F05,F05-P06,treatment,1,197,PAY05-06,CH05-06,NO05-06,DL,RETX_PENDING,3.9,0,800,2,1.8094,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F06-P01-B,F06,F06-P01,baseline,1,11,PAY06-01,CH06-01,NO06-01,UL,invariant_pass,2.4904,824,0,1,2.4904,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F06-P01-T,F06,F06-P01,treatment,1,11,PAY06-01,CH06-01,NO06-01,UL,invariant_pass,1.6635,832,0,1,1.6635,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F06-P02-B,F06,F06-P02,baseline,1,23,PAY06-02,CH06-02,NO06-02,UL,invariant_pass,1.5766,824,0,1,1.5766,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F06-P02-T,F06,F06-P02,treatment,1,23,PAY06-02,CH06-02,NO06-02,UL,invariant_pass,2.2843,832,0,1,2.2843,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F06-P03-B,F06,F06-P03,baseline,1,47,PAY06-03,CH06-03,NO06-03,UL,invariant_pass,1.7228,824,0,1,1.7228,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F06-P03-T,F06,F06-P03,treatment,1,47,PAY06-03,CH06-03,NO06-03,UL,invariant_pass,1.6033,832,0,1,1.6033,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F06-P04-B,F06,F06-P04,baseline,1,89,PAY06-04,CH06-04,NO06-04,UL,invariant_pass,1.6596,824,0,1,1.6596,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F06-P04-T,F06,F06-P04,treatment,1,89,PAY06-04,CH06-04,NO06-04,UL,invariant_pass,2.4345,832,0,1,2.4345,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F06-P05-B,F06,F06-P05,baseline,1,131,PAY06-05,CH06-05,NO06-05,UL,invariant_pass,2.2145,824,0,1,2.2145,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F06-P05-T,F06,F06-P05,treatment,1,131,PAY06-05,CH06-05,NO06-05,UL,invariant_pass,1.6487,832,0,1,1.6487,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F06-P06-B,F06,F06-P06,baseline,1,197,PAY06-06,CH06-06,NO06-06,UL,invariant_pass,1.7191,824,0,1,1.7191,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F06-P06-T,F06,F06-P06,treatment,1,197,PAY06-06,CH06-06,NO06-06,UL,invariant_pass,1.6101,832,0,1,1.6101,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F07-P01-B,F07,F07-P01,baseline,1,11,PAY07-01,CH07-01,NO07-01,DL,invariant_pass,76.5143,968,0,1,76.5143,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F07-P01-T,F07,F07-P01,treatment,1,11,PAY07-01,CH07-01,NO07-01,DL,invariant_pass,24.666,1040,0,1,24.666,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F07-P02-B,F07,F07-P02,baseline,1,23,PAY07-02,CH07-02,NO07-02,DL,invariant_pass,8.3351,968,0,1,8.3351,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F07-P02-T,F07,F07-P02,treatment,1,23,PAY07-02,CH07-02,NO07-02,DL,invariant_pass,5.7917,1040,0,1,5.7917,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F07-P03-B,F07,F07-P03,baseline,1,47,PAY07-03,CH07-03,NO07-03,DL,invariant_pass,22.5899,968,0,1,22.5899,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F07-P03-T,F07,F07-P03,treatment,1,47,PAY07-03,CH07-03,NO07-03,DL,invariant_pass,5,1040,0,1,2.3637,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F07-P04-B,F07,F07-P04,baseline,1,89,PAY07-04,CH07-04,NO07-04,DL,invariant_pass,5,968,0,1,1.8931,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F07-P04-T,F07,F07-P04,treatment,1,89,PAY07-04,CH07-04,NO07-04,DL,invariant_pass,5,1040,0,1,2.0182,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F07-P05-B,F07,F07-P05,baseline,1,131,PAY07-05,CH07-05,NO07-05,DL,invariant_pass,5,968,0,1,2.1464,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F07-P05-T,F07,F07-P05,treatment,1,131,PAY07-05,CH07-05,NO07-05,DL,invariant_pass,5,1040,0,1,2.8601,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F07-P06-B,F07,F07-P06,baseline,1,197,PAY07-06,CH07-06,NO07-06,DL,invariant_pass,5,968,0,1,2.7836,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F07-P06-T,F07,F07-P06,treatment,1,197,PAY07-06,CH07-06,NO07-06,DL,invariant_pass,5,1040,0,1,3.0812,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F08-P01-B,F08,F08-P01,baseline,1,11,PAY08-01,CH08-01,NO08-01,UL,invariant_pass,5,944,0,1,3.2243,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F08-P01-T,F08,F08-P01,treatment,1,11,PAY08-01,CH08-01,NO08-01,UL,invariant_pass,5,1040,0,1,2.0558,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F08-P02-B,F08,F08-P02,baseline,1,23,PAY08-02,CH08-02,NO08-02,UL,invariant_pass,5,944,0,1,2.5768,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F08-P02-T,F08,F08-P02,treatment,1,23,PAY08-02,CH08-02,NO08-02,UL,invariant_pass,5,1040,0,1,2.0413,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F08-P03-B,F08,F08-P03,baseline,1,47,PAY08-03,CH08-03,NO08-03,UL,invariant_pass,5,944,0,1,1.9196,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F08-P03-T,F08,F08-P03,treatment,1,47,PAY08-03,CH08-03,NO08-03,UL,invariant_pass,5,1040,0,1,1.9517,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F08-P04-B,F08,F08-P04,baseline,1,89,PAY08-04,CH08-04,NO08-04,UL,invariant_pass,5,944,0,1,2.1417,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F08-P04-T,F08,F08-P04,treatment,1,89,PAY08-04,CH08-04,NO08-04,UL,invariant_pass,5,1040,0,1,2.1514,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F08-P05-B,F08,F08-P05,baseline,1,131,PAY08-05,CH08-05,NO08-05,UL,invariant_pass,5,944,0,1,2.2638,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F08-P05-T,F08,F08-P05,treatment,1,131,PAY08-05,CH08-05,NO08-05,UL,invariant_pass,5,1040,0,1,2.0629,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F08-P06-B,F08,F08-P06,baseline,1,197,PAY08-06,CH08-06,NO08-06,UL,invariant_pass,5,944,0,1,2.1843,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F08-P06-T,F08,F08-P06,treatment,1,197,PAY08-06,CH08-06,NO08-06,UL,invariant_pass,5,1040,0,1,2.1801,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F09-P01-B,F09,F09-P01,baseline,1,11,PAY09-01,CH09-01,NO09-01,DL,invariant_pass,14.504,992,0,1,14.504,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F09-P01-T,F09,F09-P01,treatment,1,11,PAY09-01,CH09-01,NO09-01,DL,invariant_pass,5,800,0,1,1.9806,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F09-P02-B,F09,F09-P02,baseline,1,23,PAY09-02,CH09-02,NO09-02,DL,invariant_pass,5,992,0,1,2.3186,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F09-P02-T,F09,F09-P02,treatment,1,23,PAY09-02,CH09-02,NO09-02,DL,invariant_pass,5,800,0,1,3.3361,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F09-P03-B,F09,F09-P03,baseline,1,47,PAY09-03,CH09-03,NO09-03,DL,invariant_pass,5,992,0,1,3.719,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F09-P03-T,F09,F09-P03,treatment,1,47,PAY09-03,CH09-03,NO09-03,DL,invariant_pass,5,800,0,1,3.4179,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F09-P04-B,F09,F09-P04,baseline,1,89,PAY09-04,CH09-04,NO09-04,DL,invariant_pass,13.9166,992,0,1,13.9166,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F09-P04-T,F09,F09-P04,treatment,1,89,PAY09-04,CH09-04,NO09-04,DL,invariant_pass,5,800,0,1,3.7182,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F09-P05-B,F09,F09-P05,baseline,1,131,PAY09-05,CH09-05,NO09-05,DL,invariant_pass,5,992,0,1,2.4395,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F09-P05-T,F09,F09-P05,treatment,1,131,PAY09-05,CH09-05,NO09-05,DL,invariant_pass,5,800,0,1,3.3549,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F09-P06-B,F09,F09-P06,baseline,1,197,PAY09-06,CH09-06,NO09-06,DL,invariant_pass,5,992,0,1,2.8864,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F09-P06-T,F09,F09-P06,treatment,1,197,PAY09-06,CH09-06,NO09-06,DL,invariant_pass,5,800,0,1,2.3726,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F10-P01-B,F10,F10-P01,baseline,1,11,PAY10-01,CH10-01,NO10-01,UL,invariant_pass,3.8,1024,0,1,1.7239,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F10-P01-T,F10,F10-P01,treatment,1,11,PAY10-01,CH10-01,NO10-01,UL,invariant_pass,2.3,904,0,1,1.6487,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F10-P02-B,F10,F10-P02,baseline,1,23,PAY10-02,CH10-02,NO10-02,UL,invariant_pass,3.8,1024,0,1,1.4372,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F10-P02-T,F10,F10-P02,treatment,1,23,PAY10-02,CH10-02,NO10-02,UL,invariant_pass,2.3,904,0,1,1.5577,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F10-P03-B,F10,F10-P03,baseline,1,47,PAY10-03,CH10-03,NO10-03,UL,invariant_pass,3.8,1024,0,1,1.6052,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F10-P03-T,F10,F10-P03,treatment,1,47,PAY10-03,CH10-03,NO10-03,UL,invariant_pass,2.3,904,0,1,1.6768,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F10-P04-B,F10,F10-P04,baseline,1,89,PAY10-04,CH10-04,NO10-04,UL,invariant_pass,3.8,1024,0,1,1.349,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F10-P04-T,F10,F10-P04,treatment,1,89,PAY10-04,CH10-04,NO10-04,UL,invariant_pass,2.3,904,0,1,1.3063,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F10-P05-B,F10,F10-P05,baseline,1,131,PAY10-05,CH10-05,NO10-05,UL,invariant_pass,3.8,1024,0,1,1.393,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F10-P05-T,F10,F10-P05,treatment,1,131,PAY10-05,CH10-05,NO10-05,UL,invariant_pass,2.3,904,0,1,1.4495,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F10-P06-B,F10,F10-P06,baseline,1,197,PAY10-06,CH10-06,NO10-06,UL,invariant_pass,3.8,1024,0,1,1.7142,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F10-P06-T,F10,F10-P06,treatment,1,197,PAY10-06,CH10-06,NO10-06,UL,invariant_pass,2.3,904,0,1,1.6401,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F11-P01-B,F11,F11-P01,baseline,1,11,PAY11-01,CH11-01,NO11-01,DL,invariant_pass,47.8939,800,0,1,47.8939,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F11-P01-T,F11,F11-P01,treatment,1,11,PAY11-01,CH11-01,NO11-01,DL,invariant_pass,15.9503,800,0,1,15.9503,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F11-P02-B,F11,F11-P02,baseline,1,23,PAY11-02,CH11-02,NO11-02,DL,invariant_pass,7.371,800,0,1,7.371,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F11-P02-T,F11,F11-P02,treatment,1,23,PAY11-02,CH11-02,NO11-02,DL,invariant_pass,6.2067,800,0,1,6.2067,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F11-P03-B,F11,F11-P03,baseline,1,47,PAY11-03,CH11-03,NO11-03,DL,invariant_pass,17.8007,800,0,1,17.8007,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F11-P03-T,F11,F11-P03,treatment,1,47,PAY11-03,CH11-03,NO11-03,DL,invariant_pass,1.9896,800,0,1,1.9896,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F11-P04-B,F11,F11-P04,baseline,1,89,PAY11-04,CH11-04,NO11-04,DL,invariant_pass,1.8629,800,0,1,1.8629,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F11-P04-T,F11,F11-P04,treatment,1,89,PAY11-04,CH11-04,NO11-04,DL,invariant_pass,1.6883,800,0,1,1.6883,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F11-P05-B,F11,F11-P05,baseline,1,131,PAY11-05,CH11-05,NO11-05,DL,invariant_pass,2.4002,800,0,1,2.4002,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F11-P05-T,F11,F11-P05,treatment,1,131,PAY11-05,CH11-05,NO11-05,DL,invariant_pass,1.6328,800,0,1,1.6328,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F11-P06-B,F11,F11-P06,baseline,1,197,PAY11-06,CH11-06,NO11-06,DL,invariant_pass,1.5806,800,0,1,1.5806,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F11-P06-T,F11,F11-P06,treatment,1,197,PAY11-06,CH11-06,NO11-06,DL,invariant_pass,1.5191,800,0,1,1.5191,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F12-P01-B,F12,F12-P01,baseline,1,11,PAY12-01,CH12-01,NO12-01,UL,invariant_pass,1.5888,800,0,1,1.5888,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F12-P01-T,F12,F12-P01,treatment,1,11,PAY12-01,CH12-01,NO12-01,UL,invariant_pass,1.7541,800,0,1,1.7541,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F12-P02-B,F12,F12-P02,baseline,1,23,PAY12-02,CH12-02,NO12-02,UL,invariant_pass,1.5676,800,0,1,1.5676,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F12-P02-T,F12,F12-P02,treatment,1,23,PAY12-02,CH12-02,NO12-02,UL,invariant_pass,1.4923,800,0,1,1.4923,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F12-P03-B,F12,F12-P03,baseline,1,47,PAY12-03,CH12-03,NO12-03,UL,invariant_pass,1.4526,800,0,1,1.4526,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F12-P03-T,F12,F12-P03,treatment,1,47,PAY12-03,CH12-03,NO12-03,UL,invariant_pass,1.7426,800,0,1,1.7426,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F12-P04-B,F12,F12-P04,baseline,1,89,PAY12-04,CH12-04,NO12-04,UL,invariant_pass,1.6005,800,0,1,1.6005,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F12-P04-T,F12,F12-P04,treatment,1,89,PAY12-04,CH12-04,NO12-04,UL,invariant_pass,1.5268,800,0,1,1.5268,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F12-P05-B,F12,F12-P05,baseline,1,131,PAY12-05,CH12-05,NO12-05,UL,invariant_pass,1.4527,800,0,1,1.4527,PASS,analytical_component_evaluation,component_proxy,study_not_truth
