ExperimentID,FamilyID,PairID,Variant,TrialIndex,Seed,PayloadID,ChannelRealizationID,NoiseRealizationID,Direction,Outcome,Latency_ms,DeliveredBits,DroppedBits,HARQAttempts,Runtime_ms,Status,ExecutionBackend,ApproximationMode,EvidenceClass
F01-P01-B,F01,F01-P01,baseline,1,11,PAY01-01,CH01-01,NO01-01,DL,invariant_pass,2358.2309,968,0,1,2358.2309,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01-P01-T,F01,F01-P01,treatment,1,11,PAY01-01,CH01-01,NO01-01,DL,invariant_pass,26.425,880,0,1,26.425,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01-P02-B,F01,F01-P02,baseline,1,23,PAY01-02,CH01-02,NO01-02,DL,invariant_pass,14.4738,968,0,1,14.4738,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01-P02-T,F01,F01-P02,treatment,1,23,PAY01-02,CH01-02,NO01-02,DL,invariant_pass,12.5372,880,0,1,12.5372,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01-P03-B,F01,F01-P03,baseline,1,47,PAY01-03,CH01-03,NO01-03,DL,invariant_pass,43.8495,968,0,1,43.8495,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01-P03-T,F01,F01-P03,treatment,1,47,PAY01-03,CH01-03,NO01-03,DL,invariant_pass,2.4649,880,0,1,2.4649,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01-P04-B,F01,F01-P04,baseline,1,89,PAY01-04,CH01-04,NO01-04,DL,invariant_pass,3.1,968,0,1,1.9385,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01-P04-T,F01,F01-P04,treatment,1,89,PAY01-04,CH01-04,NO01-04,DL,invariant_pass,2,880,0,1,1.4956,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01-P05-B,F01,F01-P05,baseline,1,131,PAY01-05,CH01-05,NO01-05,DL,invariant_pass,3.1,968,0,1,1.7744,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01-P05-T,F01,F01-P05,treatment,1,131,PAY01-05,CH01-05,NO01-05,DL,invariant_pass,2,880,0,1,1.6069,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01-P06-B,F01,F01-P06,baseline,1,197,PAY01-06,CH01-06,NO01-06,DL,invariant_pass,3.1,968,0,1,1.3433,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01-P06-T,F01,F01-P06,treatment,1,197,PAY01-06,CH01-06,NO01-06,DL,invariant_pass,2,880,0,1,1.246,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02-P01-B,F02,F02-P01,baseline,1,11,PAY02-01,CH02-01,NO02-01,UL,invariant_pass,2.8,944,0,1,1.229,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02-P01-T,F02,F02-P01,treatment,1,11,PAY02-01,CH02-01,NO02-01,UL,invariant_pass,3.1,968,0,1,1.2269,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02-P02-B,F02,F02-P02,baseline,1,23,PAY02-02,CH02-02,NO02-02,UL,invariant_pass,2.8,944,0,1,1.5003,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02-P02-T,F02,F02-P02,treatment,1,23,PAY02-02,CH02-02,NO02-02,UL,invariant_pass,3.1,968,0,1,1.3063,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02-P03-B,F02,F02-P03,baseline,1,47,PAY02-03,CH02-03,NO02-03,UL,invariant_pass,2.8,944,0,1,1.1863,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02-P03-T,F02,F02-P03,treatment,1,47,PAY02-03,CH02-03,NO02-03,UL,invariant_pass,3.1,968,0,1,1.1717,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02-P04-B,F02,F02-P04,baseline,1,89,PAY02-04,CH02-04,NO02-04,UL,invariant_pass,2.8,944,0,1,1.1565,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02-P04-T,F02,F02-P04,treatment,1,89,PAY02-04,CH02-04,NO02-04,UL,invariant_pass,3.1,968,0,1,1.4085,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02-P05-B,F02,F02-P05,baseline,1,131,PAY02-05,CH02-05,NO02-05,UL,invariant_pass,2.8,944,0,1,1.2009,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02-P05-T,F02,F02-P05,treatment,1,131,PAY02-05,CH02-05,NO02-05,UL,invariant_pass,3.1,968,0,1,1.2087,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02-P06-B,F02,F02-P06,baseline,1,197,PAY02-06,CH02-06,NO02-06,UL,invariant_pass,2.8,944,0,1,1.1657,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02-P06-T,F02,F02-P06,treatment,1,197,PAY02-06,CH02-06,NO02-06,UL,invariant_pass,3.1,968,0,1,1.1968,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03-P01-B,F03,F03-P01,baseline,1,11,PAY03-01,CH03-01,NO03-01,DL,invariant_pass,1.6,848,0,1,1.5468,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03-P01-T,F03,F03-P01,treatment,1,11,PAY03-01,CH03-01,NO03-01,DL,invariant_pass,2.2,896,0,1,1.2778,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03-P02-B,F03,F03-P02,baseline,1,23,PAY03-02,CH03-02,NO03-02,DL,invariant_pass,1.6,848,0,1,1.2542,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03-P02-T,F03,F03-P02,treatment,1,23,PAY03-02,CH03-02,NO03-02,DL,invariant_pass,2.2,896,0,1,1.204,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03-P03-B,F03,F03-P03,baseline,1,47,PAY03-03,CH03-03,NO03-03,DL,invariant_pass,1.9561,848,0,1,1.9561,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03-P03-T,F03,F03-P03,treatment,1,47,PAY03-03,CH03-03,NO03-03,DL,invariant_pass,2.2,896,0,1,1.5408,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03-P04-B,F03,F03-P04,baseline,1,89,PAY03-04,CH03-04,NO03-04,DL,invariant_pass,1.7135,848,0,1,1.7135,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03-P04-T,F03,F03-P04,treatment,1,89,PAY03-04,CH03-04,NO03-04,DL,invariant_pass,2.2,896,0,1,1.6831,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03-P05-B,F03,F03-P05,baseline,1,131,PAY03-05,CH03-05,NO03-05,DL,invariant_pass,2.5301,848,0,1,2.5301,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03-P05-T,F03,F03-P05,treatment,1,131,PAY03-05,CH03-05,NO03-05,DL,invariant_pass,2.2,896,0,1,1.6155,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03-P06-B,F03,F03-P06,baseline,1,197,PAY03-06,CH03-06,NO03-06,DL,invariant_pass,1.6029,848,0,1,1.6029,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03-P06-T,F03,F03-P06,treatment,1,197,PAY03-06,CH03-06,NO03-06,DL,invariant_pass,2.219,896,0,1,2.219,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04-P01-B,F04,F04-P01,baseline,1,11,PAY04-01,CH04-01,NO04-01,UL,invariant_pass,2.1374,840,0,1,2.1374,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04-P01-T,F04,F04-P01,treatment,1,11,PAY04-01,CH04-01,NO04-01,UL,invariant_pass,2.1424,832,0,1,2.1424,PASS,analytical_component_evaluation,component_proxy,study_not_truth
