CaseID,Mode,ResourceAllocationType,AbsoluteSlot,RepetitionType,RepetitionIndex,Hop,PRBSet,SymbolSet,DMRSRECount,PTRSRECount,DataRECount,ExpectedPRBSet,PRBMismatchCount,Status
HOP-001,none,1,10,none,0,0,0|1|2|3,0|1|2|3|4|5|6|7|8|9|10|11|12|13,24,0,648,0|1|2|3,0,PASS
HOP-002,none,1,10,none,0,0,4|5|6|7|8|9|10|11,2|3|4|5|6|7|8|9|10|11,48,0,912,4|5|6|7|8|9|10|11,0,PASS
HOP-003,none,1,10,none,0,0,20|21|22|23|24|25|26|27|28|29|30|31,4|5|6|7|8|9|10|11,72,0,1080,20|21|22|23|24|25|26|27|28|29|30|31,0,PASS
HOP-004,intra_slot,1,10,none,0,0,0|1|2|3,0|1|2|3|4|5|6,24,0,312,0|1|2|3,0,PASS
HOP-004,intra_slot,1,10,none,0,1,20|21|22|23,7|8|9|10|11|12|13,24,0,312,20|21|22|23,0,PASS
HOP-005,intra_slot,1,10,none,0,0,4|5|6|7|8|9|10|11,2|3|4|5|6,48,0,432,4|5|6|7|8|9|10|11,0,PASS
HOP-005,intra_slot,1,10,none,0,1,30|31|32|33|34|35|36|37,7|8|9|10|11,48,0,432,30|31|32|33|34|35|36|37,0,PASS
HOP-006,intra_slot,1,10,none,0,0,10|11|12|13|14|15,4|5|6|7,36,0,252,10|11|12|13|14|15,0,PASS
HOP-006,intra_slot,1,10,none,0,1,36|37|38|39|40|41,8|9|10|11,36,0,252,36|37|38|39|40|41,0,PASS
HOP-007,intra_slot,1,10,none,0,0,15|16|17|18|19,1|2|3|4|5|6,30,0,330,15|16|17|18|19,0,PASS
HOP-007,intra_slot,1,10,none,0,1,2|3|4|5|6,7|8|9|10|11|12,30,0,330,2|3|4|5|6,0,PASS
HOP-008,intra_slot,1,10,none,0,0,8|9|10|11|12|13|14|15|16|17,0|1|2|3|4|5,60,0,660,8|9|10|11|12|13|14|15|16|17,0,PASS
HOP-008,intra_slot,1,10,none,0,1,40|41|42|43|44|45|46|47|48|49,6|7|8|9|10|11,60,0,660,40|41|42|43|44|45|46|47|48|49,0,PASS
HOP-009,intra_slot,1,10,none,0,0,20|21|22|23|24|25|26|27|28|29|30|31,2|3|4|5|6|7,72,0,792,20|21|22|23|24|25|26|27|28|29|30|31,0,PASS
HOP-009,intra_slot,1,10,none,0,1,0|1|2|3|4|5|6|7|8|9|10|11,8|9|10|11|12|13,72,0,792,0|1|2|3|4|5|6|7|8|9|10|11,0,PASS
HOP-010,inter_slot,1,100,A,0,0,4|5|6|7|8|9|10|11,2|3|4|5|6|7|8|9|10|11|12|13,48,0,1104,4|5|6|7|8|9|10|11,0,PASS
HOP-010,inter_slot,1,100,A,0,1,28|29|30|31|32|33|34|35,,48,0,8,28|29|30|31|32|33|34|35,0,PASS
HOP-011,inter_slot,1,101,A,1,0,4|5|6|7|8|9|10|11,2|3|4|5|6|7|8|9|10|11|12|13,48,0,1104,4|5|6|7|8|9|10|11,0,PASS
HOP-011,inter_slot,1,101,A,1,1,28|29|30|31|32|33|34|35,,48,0,8,28|29|30|31|32|33|34|35,0,PASS
HOP-012,inter_slot,1,102,A,2,0,4|5|6|7|8|9|10|11,2|3|4|5|6|7|8|9|10|11|12|13,48,0,1104,4|5|6|7|8|9|10|11,0,PASS
HOP-012,inter_slot,1,102,A,2,1,28|29|30|31|32|33|34|35,,48,0,8,28|29|30|31|32|33|34|35,0,PASS
HOP-013,inter_slot,1,103,A,3,0,4|5|6|7|8|9|10|11,2|3|4|5|6|7|8|9|10|11|12|13,48,0,1104,4|5|6|7|8|9|10|11,0,PASS
HOP-013,inter_slot,1,103,A,3,1,28|29|30|31|32|33|34|35,,48,0,8,28|29|30|31|32|33|34|35,0,PASS
HOP-014,inter_slot,1,104,A,4,0,4|5|6|7|8|9|10|11,2|3|4|5|6|7|8|9|10|11|12|13,48,0,1104,4|5|6|7|8|9|10|11,0,PASS
HOP-014,inter_slot,1,104,A,4,1,28|29|30|31|32|33|34|35,,48,0,8,28|29|30|31|32|33|34|35,0,PASS
HOP-015,inter_slot,1,105,A,5,0,4|5|6|7|8|9|10|11,2|3|4|5|6|7|8|9|10|11|12|13,48,0,1104,4|5|6|7|8|9|10|11,0,PASS
HOP-015,inter_slot,1,105,A,5,1,28|29|30|31|32|33|34|35,,48,0,8,28|29|30|31|32|33|34|35,0,PASS
HOP-016,inter_slot,1,106,A,6,0,4|5|6|7|8|9|10|11,2|3|4|5|6|7|8|9|10|11|12|13,48,0,1104,4|5|6|7|8|9|10|11,0,PASS
HOP-016,inter_slot,1,106,A,6,1,28|29|30|31|32|33|34|35,,48,0,8,28|29|30|31|32|33|34|35,0,PASS
HOP-017,inter_slot,1,107,A,7,0,4|5|6|7|8|9|10|11,2|3|4|5|6|7|8|9|10|11|12|13,48,0,1104,4|5|6|7|8|9|10|11,0,PASS
HOP-017,inter_slot,1,107,A,7,1,28|29|30|31|32|33|34|35,,48,0,8,28|29|30|31|32|33|34|35,0,PASS
HOP-018,inter_slot,1,210,B,0,0,2|3|4|5|6|7,10|11|12|13,36,0,252,2|3|4|5|6|7,0,PASS
HOP-018,inter_slot,1,210,B,0,1,34|35|36|37|38|39,0|1|2|3,36,0,252,34|35|36|37|38|39,0,PASS
HOP-019,inter_slot,1,211,B,1,0,2|3|4|5|6|7,10|11|12|13,36,0,252,2|3|4|5|6|7,0,PASS
HOP-019,inter_slot,1,211,B,1,1,34|35|36|37|38|39,0|1|2|3,36,0,252,34|35|36|37|38|39,0,PASS
HOP-020,inter_slot,1,212,B,2,0,2|3|4|5|6|7,10|11|12|13,36,0,252,2|3|4|5|6|7,0,PASS
HOP-020,inter_slot,1,212,B,2,1,34|35|36|37|38|39,0|1|2|3,36,0,252,34|35|36|37|38|39,0,PASS
HOP-021,inter_slot,1,213,B,3,0,2|3|4|5|6|7,10|11|12|13,36,0,252,2|3|4|5|6|7,0,PASS
HOP-021,inter_slot,1,213,B,3,1,34|35|36|37|38|39,0|1|2|3,36,0,252,34|35|36|37|38|39,0,PASS
