ImageFile,SourceCSV,Width,Height,AxesCount,SeriesCount,FinitePointCount,ExpectedXLabel,ActualXLabel,ExpectedYLabel,ActualYLabel,ExpectedTitleToken,ActualTitle,SourceCSV_SHA256,PNG_SHA256,Status
pusch_resource_grid_ownership.png,pusch_resource_ownership.csv,998,714,1,3,1944,PRB / subcarrier,PRB / subcarrier,OFDM symbol,OFDM symbol,PUSCH resource ownership,PUSCH resource ownership,929c65686d807ab40f6891d6f7cb973918b3a9cce7074e88f1aa90062e6778c3,1072953d5bac853b5a5786ed389debc04fe142f701fe7a5a4f00af8013490aef,PASS
pusch_dmrs_ptrs_hop_map.png,pusch_dmrs_matrix.csv|pusch_ptrs_matrix.csv|pusch_frequency_hopping.csv,1010,714,1,3,1914,Subcarrier / PRB,Subcarrier / PRB,OFDM symbol,OFDM symbol,PUSCH DM-RS PT-RS hopping,PUSCH DM-RS PT-RS hopping,pusch_dmrs_matrix.csv=96bd8c146d317c9f22e91d6808c17ab681090754d6ee532f011a4d1b06b158f5|pusch_ptrs_matrix.csv=cee69edc26472add999709c44a848807b0bd9dd25fd2b5f160cac9c48ba32c6b|pusch_frequency_hopping.csv=ee941772364191790524c159bc1d732f59c47f8252ccab1c4642c845f108e3e5,f435eb9f1d6c9c105763c9e651fae7350e7196ad13a08014ea2c1552db439bfe,PASS
pusch_uci_bit_allocation.png,pusch_uci_multiplexing.csv,1024,717,1,4,7510,Coded-bit position,Coded-bit position,Payload owner,Payload owner,UCI multiplexing,UCI multiplexing,9c4febe8ea87222a9449c60880cc5998e68ad7ef4f2696d546cf743afc4b36ec,b932a78cd28bbc4f2e14f464468008cdeec301d677c2d9701c8d4af3dfbb767b,PASS
pusch_codeword_layer_mapping.png,pusch_codeword_layer_map.csv,987,717,1,2,36,Layer,Layer,Mapped symbols,Mapped symbols,PUSCH codeword-to-layer mapping,PUSCH codeword-to-layer mapping,644d86c52b73c96445baf8cea410475e700e9a3c0db406d1d6b951397189ca69,ba05ab136acd47db60e533f4a7511bb5c43fc96ac0d77b885d630c7473568c91,PASS
pusch_transform_precoding_spectrum.png,pusch_transform_precoding.csv,1000,714,1,2,288,Subcarrier,Subcarrier,Magnitude / power,Magnitude / power,Transform precoding spectrum,Transform precoding spectrum,ae1d4db279168cd53900e48b476cfedcc748ad5d589dd0020365315a6286b708,8eb91800dbc5d79658edb89074f3e2052d92551ce6d00ec9ce9915887796b9dd,PASS
pusch_papr_ccdf.png,pusch_transform_precoding.csv,991,717,1,2,128,PAPR (dB),PAPR (dB),CCDF,CCDF,PUSCH PAPR,PUSCH PAPR,ae1d4db279168cd53900e48b476cfedcc748ad5d589dd0020365315a6286b708,ca7a099efba9d4dad9ddcef8330897fb9a3f6d7b2fec95cdb5101f9aebbe8e80,PASS
pusch_frequency_hop_timeline.png,pusch_frequency_hopping.csv,995,717,1,2,1764,Slot / OFDM symbol,Slot / OFDM symbol,PRB / hop,PRB / hop,PUSCH frequency hopping,PUSCH frequency hopping,ee941772364191790524c159bc1d732f59c47f8252ccab1c4642c845f108e3e5,0a9e66c5a8bb7112880dbe0b928a1acb19502efa590f15a851205729ec2a8868,PASS
pusch_srs_tpmi_selection.png,pusch_srs_precoder_selection.csv,986,714,1,3,36,SRS measurement / case,SRS measurement / case,RI SRI TPMI metric,RI SRI TPMI metric,SRS-derived uplink precoding,SRS-derived uplink precoding,f903e49f6c67d88bd46e88fdb86893883b2bc25f1535972dec0ffb974af6e986,c37a808b2710e6b64d972cd453613fadcff34f40e8a66270149cc5bb2e0b69b7,PASS
pusch_power_control_convergence.png,pusch_power_control.csv,992,714,1,2,48,Slot / TPC command,Slot / TPC command,Transmit power (dBm),Transmit power (dBm),PUSCH power control,PUSCH power control,840a14679bb9af81ec0c51d538c21b6ad5116850a8b9956b6d872a48ddd795e0,d785fe26b1be08f37852f708aa717efa8db4341da00fab1e27d1ef81eb575a14,PASS
pusch_bler_vs_snr.png,pusch_bler_curve.csv,988,717,1,1,4,SNR (dB),SNR (dB),BLER,BLER,PUSCH BLER,PUSCH BLER,1b23db1a7915f8d7e6f53bc531cb4b4530b6da6966d427eaf5d724da2857f5c5,32acdf31de9b80c57e684ef108bc6c3c951cbb01c4fe4b4b9e29872476ae4eb4,PASS
pusch_per_layer_sinr.png,pusch_receiver_metrics.csv,989,717,1,1,8,Layer / operating point,Layer / operating point,Measured SINR (dB),Measured SINR (dB),PUSCH per-layer SINR,PUSCH per-layer SINR,5491c1ddf2772044145a3d8d4639f8383611f6322a81e7852011aaa1ab744e78,f9d9345f5ba9d10d05770e682fb0d5f75f2d8f5a9e880d27899fb2b09dc1f37e,PASS
