CaseID,Hop,Layer,DFTSize,MRB,InputSymbolCount,OutputSymbolCount,InputEnergy,OutputEnergy,EnergyRelativeError,RoundTripNMSE,InputPAPR_dB,OutputPAPR_dB,NormalizationConvention,Status
TP-001,0,0,12,1,12,12,11.99999999999998,11.999999999999984,2.9605947323337555e-16,0,9.6432746655328714e-16,4.7712125471966242,unitary_nrTransformPrecode,PASS
TP-002,0,0,24,2,24,24,23.999999999999972,23.999999999999964,2.9605947323337541e-16,1.0271626370065271e-32,-1.446491199829931e-15,7.7815125038364377,unitary_nrTransformPrecode,PASS
TP-003,0,0,36,3,36,36,35.999999999999972,35.999999999999943,7.8949192862233419e-16,4.5195156028287171e-32,-3.3751461329365067e-15,9.5424250943932503,unitary_nrTransformPrecode,PASS
TP-004,0,0,48,4,48,48,47.999999999999922,47.999999999999936,2.9605947323337555e-16,1.5407439555097911e-32,9.6432746655328714e-16,10.791812460476249,unitary_nrTransformPrecode,PASS
TP-005,0,0,60,5,60,60,59.999999999999901,59.999999999999908,1.1842378929335023e-16,2.3213875596347521e-32,9.6432746655328714e-16,11.760912590556813,unitary_nrTransformPrecode,PASS
TP-006,0,0,72,6,72,72,71.999999999999886,71.999999999999901,1.9737298215558369e-16,2.8760553836182773e-32,0,12.552725051033061,unitary_nrTransformPrecode,PASS
TP-007,0,0,96,8,96,96,95.999999999999886,95.999999999999886,0,5.1358131850326353e-33,-1.446491199829931e-15,13.80211241711606,unitary_nrTransformPrecode,PASS
TP-008,0,0,120,10,120,120,119.99999999999989,119.99999999999983,4.7369515717340061e-16,5.197442943253025e-32,-2.4108186663832181e-15,14.771212547196626,unitary_nrTransformPrecode,PASS
TP-009,0,0,144,12,144,144,143.99999999999989,143.99999999999977,7.8949192862233419e-16,2.8760553836182746e-32,-3.3751461329365067e-15,15.563025007672874,unitary_nrTransformPrecode,PASS
