CaseID,Hop,PRG,SymbolGroup,NPorts,NLayers,SRSDecisionID,MatrixDigest,AppliedMatrixDigest,InputEnergy,OutputEnergy,PowerRelativeError,MatrixApplicationCount,Status
PRECODE-R1-P1,0,0,0,1,1,SRS-PRECODE-R1-P1,9ceed2d18cdd27d35c14096ab3f5478a49e0c7861aee5f7e65db04746f76abe5,9ceed2d18cdd27d35c14096ab3f5478a49e0c7861aee5f7e65db04746f76abe5,1.0625,1.0625,0,1,PASS
PRECODE-R1-P2,0,0,0,2,1,SRS-PRECODE-R1-P2,df80065e7e430a87f5674928fa565538d3069474f999f6fb6c6c0c5ef62fdfa1,df80065e7e430a87f5674928fa565538d3069474f999f6fb6c6c0c5ef62fdfa1,1.0625,1.0625,0,1,PASS
PRECODE-R2-P2,0,0,0,2,2,SRS-PRECODE-R2-P2,6c3e6fb3a4df27eadd3e4533cce59b64a7496df193603da88ea9153f07c7e082,6c3e6fb3a4df27eadd3e4533cce59b64a7496df193603da88ea9153f07c7e082,5.3125,5.3125,0,1,PASS
PRECODE-R1-P4,0,0,0,4,1,SRS-PRECODE-R1-P4,0e4bcb8572352f9012469dd71bc624bcfdc6d73d165792e34c94109a330fe85d,0e4bcb8572352f9012469dd71bc624bcfdc6d73d165792e34c94109a330fe85d,1.0625,1.0625,0,1,PASS
PRECODE-R2-P4,0,0,0,4,2,SRS-PRECODE-R2-P4,e45277d75d32bfcd1cefbc2ee16d84d5accae05a65fedb2e06cc36db66aaadab,e45277d75d32bfcd1cefbc2ee16d84d5accae05a65fedb2e06cc36db66aaadab,5.3125,5.3125,0,1,PASS
PRECODE-R4-P4,0,0,0,4,4,SRS-PRECODE-R4-P4,f9c8c6d4c9f78391f9ec15b11858c12e84094a75ca51f88f91639b7eecc659a2,f9c8c6d4c9f78391f9ec15b11858c12e84094a75ca51f88f91639b7eecc659a2,31.875,31.875,0,1,PASS
PRECODE-R5-P8,0,0,0,8,5,SRS-PRECODE-R5-P8,5ea13bbaa0ff11f0e4abae5222547fb7081255ae2cb1db02fec5aaef12ac5f9f,5ea13bbaa0ff11f0e4abae5222547fb7081255ae2cb1db02fec5aaef12ac5f9f,58.4375,58.437500000000007,1.2159020077178185e-16,1,PASS
PRECODE-R8-P8,0,0,0,8,8,SRS-PRECODE-R8-P8,ac1041ffb622a7c6fede07e7ca7b007a33aceca359daf87425a528d2b57757e4,ac1041ffb622a7c6fede07e7ca7b007a33aceca359daf87425a528d2b57757e4,216.75,216.75,0,1,PASS
