RunID,PacketID,SessionID,FlowID,ArrivalTime_ms,PacketBytes,QFI,FiveQI,PDUSetID,Deadline_ms,RandomStream,Status
"PROTOCOL-20260727-071456","PKT000057","SESS01","FLOW02","170.000000","1200","3","5",,"100","57","PASS"
"PROTOCOL-20260727-071456","PKT000058","SESS01","FLOW02","188.000000","1500","3","5",,"100","58","PASS"
"PROTOCOL-20260727-071456","PKT000059","SESS01","FLOW02","206.000000","64","3","5",,"100","59","PASS"
"PROTOCOL-20260727-071456","PKT000060","SESS01","FLOW02","224.000000","200","3","5",,"100","60","PASS"
"PROTOCOL-20260727-071456","PKT000061","SESS01","FLOW02","225.000000","800","3","5",,"100","61","PASS"
"PROTOCOL-20260727-071456","PKT000062","SESS01","FLOW02","226.000000","1200","3","5",,"100","62","PASS"
"PROTOCOL-20260727-071456","PKT000063","SESS01","FLOW02","227.000000","1500","3","5",,"100","63","PASS"
"PROTOCOL-20260727-071456","PKT000064","SESS01","FLOW02","228.000000","64","3","5",,"100","64","PASS"
"PROTOCOL-20260727-071456","PKT000065","SESS01","FLOW02","246.000000","200","3","5",,"100","65","PASS"
"PROTOCOL-20260727-071456","PKT000066","SESS01","FLOW02","264.000000","800","3","5",,"100","66","PASS"
"PROTOCOL-20260727-071456","PKT000067","SESS01","FLOW02","282.000000","1200","3","5",,"100","67","PASS"
"PROTOCOL-20260727-071456","PKT000068","SESS01","FLOW02","300.000000","1500","3","5",,"100","68","PASS"
"PROTOCOL-20260727-071456","PKT000069","SESS01","FLOW02","318.000000","64","3","5",,"100","69","PASS"
"PROTOCOL-20260727-071456","PKT000070","SESS01","FLOW02","336.000000","200","3","5",,"100","70","PASS"
"PROTOCOL-20260727-071456","PKT000071","SESS01","FLOW02","337.000000","800","3","5",,"100","71","PASS"
"PROTOCOL-20260727-071456","PKT000072","SESS01","FLOW02","338.000000","1200","3","5",,"100","72","PASS"
"PROTOCOL-20260727-071456","PKT000073","SESS01","FLOW02","339.000000","1500","3","5",,"100","73","PASS"
"PROTOCOL-20260727-071456","PKT000074","SESS01","FLOW02","340.000000","64","3","5",,"100","74","PASS"
"PROTOCOL-20260727-071456","PKT000075","SESS01","FLOW02","358.000000","200","3","5",,"100","75","PASS"
"PROTOCOL-20260727-071456","PKT000076","SESS01","FLOW02","376.000000","800","3","5",,"100","76","PASS"
"PROTOCOL-20260727-071456","PKT000077","SESS01","FLOW02","394.000000","1200","3","5",,"100","77","PASS"
"PROTOCOL-20260727-071456","PKT000078","SESS01","FLOW02","412.000000","1500","3","5",,"100","78","PASS"
"PROTOCOL-20260727-071456","PKT000079","SESS01","FLOW02","430.000000","64","3","5",,"100","79","PASS"
"PROTOCOL-20260727-071456","PKT000080","SESS01","FLOW02","448.000000","200","3","5",,"100","80","PASS"
"PROTOCOL-20260727-071456","PKT000081","SESS02","FLOW03","4.167500","1200","4","7","PS03_000","20","81","PASS"
"PROTOCOL-20260727-071456","PKT000082","SESS02","FLOW03","8.335000","1500","4","7","PS03_000","20","82","PASS"
"PROTOCOL-20260727-071456","PKT000083","SESS02","FLOW03","12.502500","64","4","7","PS03_000","20","83","PASS"
"PROTOCOL-20260727-071456","PKT000084","SESS02","FLOW03","16.670000","200","4","7","PS03_000","20","84","PASS"
"PROTOCOL-20260727-071456","PKT000085","SESS02","FLOW03","20.837500","800","4","7","PS03_001","20","85","PASS"
"PROTOCOL-20260727-071456","PKT000086","SESS02","FLOW03","25.005000","1200","4","7","PS03_001","20","86","PASS"
"PROTOCOL-20260727-071456","PKT000087","SESS02","FLOW03","29.172500","1500","4","7","PS03_001","20","87","PASS"
"PROTOCOL-20260727-071456","PKT000088","SESS02","FLOW03","33.340000","64","4","7","PS03_001","20","88","PASS"
"PROTOCOL-20260727-071456","PKT000089","SESS02","FLOW03","37.507500","200","4","7","PS03_002","20","89","PASS"
"PROTOCOL-20260727-071456","PKT000090","SESS02","FLOW03","41.675000","800","4","7","PS03_002","20","90","PASS"
"PROTOCOL-20260727-071456","PKT000091","SESS02","FLOW03","45.842500","1200","4","7","PS03_002","20","91","PASS"
"PROTOCOL-20260727-071456","PKT000092","SESS02","FLOW03","50.010000","1500","4","7","PS03_002","20","92","PASS"
"PROTOCOL-20260727-071456","PKT000093","SESS02","FLOW03","54.177500","64","4","7","PS03_003","20","93","PASS"
"PROTOCOL-20260727-071456","PKT000094","SESS02","FLOW03","58.345000","200","4","7","PS03_003","20","94","PASS"
"PROTOCOL-20260727-071456","PKT000095","SESS02","FLOW03","62.512500","800","4","7","PS03_003","20","95","PASS"
"PROTOCOL-20260727-071456","PKT000096","SESS02","FLOW03","66.680000","1200","4","7","PS03_003","20","96","PASS"
"PROTOCOL-20260727-071456","PKT000097","SESS02","FLOW03","70.847500","1500","4","7","PS03_004","20","97","PASS"
"PROTOCOL-20260727-071456","PKT000098","SESS02","FLOW03","75.015000","64","4","7","PS03_004","20","98","PASS"
"PROTOCOL-20260727-071456","PKT000099","SESS02","FLOW03","79.182500","200","4","7","PS03_004","20","99","PASS"
"PROTOCOL-20260727-071456","PKT000100","SESS02","FLOW03","83.350000","800","4","7","PS03_004","20","100","PASS"
"PROTOCOL-20260727-071456","PKT000101","SESS02","FLOW03","87.517500","1200","4","7","PS03_005","20","101","PASS"
"PROTOCOL-20260727-071456","PKT000102","SESS02","FLOW03","91.685000","1500","4","7","PS03_005","20","102","PASS"
"PROTOCOL-20260727-071456","PKT000103","SESS02","FLOW03","95.852500","64","4","7","PS03_005","20","103","PASS"
"PROTOCOL-20260727-071456","PKT000104","SESS02","FLOW03","100.020000","200","4","7","PS03_005","20","104","PASS"
"PROTOCOL-20260727-071456","PKT000105","SESS02","FLOW03","104.187500","800","4","7","PS03_006","20","105","PASS"
"PROTOCOL-20260727-071456","PKT000106","SESS02","FLOW03","108.355000","1200","4","7","PS03_006","20","106","PASS"
"PROTOCOL-20260727-071456","PKT000107","SESS02","FLOW03","112.522500","1500","4","7","PS03_006","20","107","PASS"
"PROTOCOL-20260727-071456","PKT000108","SESS02","FLOW03","116.690000","64","4","7","PS03_006","20","108","PASS"
"PROTOCOL-20260727-071456","PKT000109","SESS02","FLOW03","120.857500","200","4","7","PS03_007","20","109","PASS"
"PROTOCOL-20260727-071456","PKT000110","SESS02","FLOW03","125.025000","800","4","7","PS03_007","20","110","PASS"
"PROTOCOL-20260727-071456","PKT000111","SESS02","FLOW03","129.192500","1200","4","7","PS03_007","20","111","PASS"
"PROTOCOL-20260727-071456","PKT000112","SESS02","FLOW03","133.360000","1500","4","7","PS03_007","20","112","PASS"
"PROTOCOL-20260727-071456","PKT000113","SESS02","FLOW03","137.527500","64","4","7","PS03_008","20","113","PASS"
"PROTOCOL-20260727-071456","PKT000114","SESS02","FLOW03","141.695000","200","4","7","PS03_008","20","114","PASS"
"PROTOCOL-20260727-071456","PKT000115","SESS02","FLOW03","145.862500","800","4","7","PS03_008","20","115","PASS"
"PROTOCOL-20260727-071456","PKT000116","SESS02","FLOW03","150.030000","1200","4","7","PS03_008","20","116","PASS"
"PROTOCOL-20260727-071456","PKT000117","SESS02","FLOW03","154.197500","1500","4","7","PS03_009","20","117","PASS"
"PROTOCOL-20260727-071456","PKT000118","SESS02","FLOW03","158.365000","64","4","7","PS03_009","20","118","PASS"
"PROTOCOL-20260727-071456","PKT000119","SESS02","FLOW03","162.532500","200","4","7","PS03_009","20","119","PASS"
"PROTOCOL-20260727-071456","PKT000120","SESS02","FLOW03","166.700000","800","4","7","PS03_009","20","120","PASS"
"PROTOCOL-20260727-071456","PKT000121","SESS02","FLOW04","10.000000","1500","5","8",,"100","121","PASS"
"PROTOCOL-20260727-071456","PKT000122","SESS02","FLOW04","20.000000","64","5","8",,"100","122","PASS"
"PROTOCOL-20260727-071456","PKT000123","SESS02","FLOW04","30.000000","200","5","8",,"100","123","PASS"
"PROTOCOL-20260727-071456","PKT000124","SESS02","FLOW04","40.000000","800","5","8",,"100","124","PASS"
"PROTOCOL-20260727-071456","PKT000125","SESS02","FLOW04","50.000000","1200","5","8",,"100","125","PASS"
"PROTOCOL-20260727-071456","PKT000126","SESS02","FLOW04","60.000000","1500","5","8",,"100","126","PASS"
"PROTOCOL-20260727-071456","PKT000127","SESS02","FLOW04","70.000000","64","5","8",,"100","127","PASS"
"PROTOCOL-20260727-071456","PKT000128","SESS02","FLOW04","80.000000","200","5","8",,"100","128","PASS"
"PROTOCOL-20260727-071456","PKT000129","SESS02","FLOW04","90.000000","800","5","8",,"100","129","PASS"
"PROTOCOL-20260727-071456","PKT000130","SESS02","FLOW04","100.000000","1200","5","8",,"100","130","PASS"
"PROTOCOL-20260727-071456","PKT000131","SESS02","FLOW04","110.000000","1500","5","8",,"100","131","PASS"
"PROTOCOL-20260727-071456","PKT000132","SESS02","FLOW04","120.000000","64","5","8",,"100","132","PASS"
"PROTOCOL-20260727-071456","PKT000133","SESS02","FLOW04","130.000000","200","5","8",,"100","133","PASS"
"PROTOCOL-20260727-071456","PKT000134","SESS02","FLOW04","140.000000","800","5","8",,"100","134","PASS"
"PROTOCOL-20260727-071456","PKT000135","SESS02","FLOW04","150.000000","1200","5","8",,"100","135","PASS"
"PROTOCOL-20260727-071456","PKT000136","SESS02","FLOW04","160.000000","1500","5","8",,"100","136","PASS"
"PROTOCOL-20260727-071456","PKT000137","SESS02","FLOW04","170.000000","64","5","8",,"100","137","PASS"
"PROTOCOL-20260727-071456","PKT000138","SESS02","FLOW04","180.000000","200","5","8",,"100","138","PASS"
"PROTOCOL-20260727-071456","PKT000139","SESS02","FLOW04","190.000000","800","5","8",,"100","139","PASS"
"PROTOCOL-20260727-071456","PKT000140","SESS02","FLOW04","200.000000","1200","5","8",,"100","140","PASS"
"PROTOCOL-20260727-071456","PKT000141","SESS02","FLOW04","210.000000","1500","5","8",,"100","141","PASS"
"PROTOCOL-20260727-071456","PKT000142","SESS02","FLOW04","220.000000","64","5","8",,"100","142","PASS"
"PROTOCOL-20260727-071456","PKT000143","SESS02","FLOW04","230.000000","200","5","8",,"100","143","PASS"
"PROTOCOL-20260727-071456","PKT000144","SESS02","FLOW04","240.000000","800","5","8",,"100","144","PASS"
"PROTOCOL-20260727-071456","PKT000145","SESS02","FLOW04","250.000000","1200","5","8",,"100","145","PASS"
"PROTOCOL-20260727-071456","PKT000146","SESS02","FLOW04","260.000000","1500","5","8",,"100","146","PASS"
"PROTOCOL-20260727-071456","PKT000147","SESS02","FLOW04","270.000000","64","5","8",,"100","147","PASS"
"PROTOCOL-20260727-071456","PKT000148","SESS02","FLOW04","280.000000","200","5","8",,"100","148","PASS"
"PROTOCOL-20260727-071456","PKT000149","SESS02","FLOW04","290.000000","800","5","8",,"100","149","PASS"
"PROTOCOL-20260727-071456","PKT000150","SESS02","FLOW04","300.000000","1200","5","8",,"100","150","PASS"
"PROTOCOL-20260727-071456","PKT000151","SESS02","FLOW04","310.000000","1500","5","8",,"100","151","PASS"
"PROTOCOL-20260727-071456","PKT000152","SESS02","FLOW04","320.000000","64","5","8",,"100","152","PASS"
"PROTOCOL-20260727-071456","PKT000153","SESS02","FLOW04","330.000000","200","5","8",,"100","153","PASS"
"PROTOCOL-20260727-071456","PKT000154","SESS02","FLOW04","340.000000","800","5","8",,"100","154","PASS"
"PROTOCOL-20260727-071456","PKT000155","SESS02","FLOW04","350.000000","1200","5","8",,"100","155","PASS"
"PROTOCOL-20260727-071456","PKT000156","SESS02","FLOW04","360.000000","1500","5","8",,"100","156","PASS"
"PROTOCOL-20260727-071456","PKT000157","SESS02","FLOW04","370.000000","64","5","8",,"100","157","PASS"
"PROTOCOL-20260727-071456","PKT000158","SESS02","FLOW04","380.000000","200","5","8",,"100","158","PASS"
"PROTOCOL-20260727-071456","PKT000159","SESS02","FLOW04","390.000000","800","5","8",,"100","159","PASS"
"PROTOCOL-20260727-071456","PKT000160","SESS02","FLOW04","400.000000","1200","5","8",,"100","160","PASS"
"PROTOCOL-20260727-071456","PKT000161","SESS03","FLOW05","5.279408","64","6","9",,"100","161","PASS"
"PROTOCOL-20260727-071456","PKT000162","SESS03","FLOW05","23.876663","200","6","9",,"100","162","PASS"
"PROTOCOL-20260727-071456","PKT000163","SESS03","FLOW05","30.044792","800","6","9",,"100","163","PASS"
"PROTOCOL-20260727-071456","PKT000164","SESS03","FLOW05","46.753238","1200","6","9",,"100","164","PASS"
"PROTOCOL-20260727-071456","PKT000165","SESS03","FLOW05","53.563949","1500","6","9",,"100","165","PASS"
"PROTOCOL-20260727-071456","PKT000166","SESS03","FLOW05","95.222770","64","6","9",,"100","166","PASS"
"PROTOCOL-20260727-071456","PKT000167","SESS03","FLOW05","98.761212","200","6","9",,"100","167","PASS"
