RunID,EventSequence,BearerID,SNBits,HFN,SN,COUNT,TX_NEXT,RX_DELIV,RX_NEXT,RX_REORD,Status
"PROTOCOL-20260727-071456","1","1","12","0","0","0","1","1","1","1","PASS"
"PROTOCOL-20260727-071456","2","2","12","0","1","1","2","2","2","2","PASS"
"PROTOCOL-20260727-071456","3","3","12","0","4094","4094","3","3","3","3","PASS"
"PROTOCOL-20260727-071456","4","4","12","0","4095","4095","4","4","4","4","PASS"
"PROTOCOL-20260727-071456","5","5","12","1","0","4096","5","5","5","5","PASS"
"PROTOCOL-20260727-071456","6","6","12","1","1","4097","6","6","6","6","PASS"
"PROTOCOL-20260727-071456","7","7","12","1","4094","8190","7","7","7","7","PASS"
"PROTOCOL-20260727-071456","8","8","12","1","4095","8191","8","8","8","8","PASS"
"PROTOCOL-20260727-071456","9","9","12","17","0","69632","9","9","9","9","PASS"
"PROTOCOL-20260727-071456","10","10","12","17","1","69633","10","10","10","10","PASS"
"PROTOCOL-20260727-071456","11","11","12","17","4094","73726","11","11","11","11","PASS"
"PROTOCOL-20260727-071456","12","12","12","17","4095","73727","12","12","12","12","PASS"
"PROTOCOL-20260727-071456","13","13","12","1048574","0","4294959104","13","13","13","13","PASS"
"PROTOCOL-20260727-071456","14","14","12","1048574","1","4294959105","14","14","14","14","PASS"
"PROTOCOL-20260727-071456","15","15","12","1048574","4094","4294963198","15","15","15","15","PASS"
"PROTOCOL-20260727-071456","16","16","12","1048574","4095","4294963199","16","16","16","16","PASS"
"PROTOCOL-20260727-071456","17","17","12","1048575","0","4294963200","17","17","17","17","PASS"
"PROTOCOL-20260727-071456","18","18","12","1048575","1","4294963201","18","18","18","18","PASS"
"PROTOCOL-20260727-071456","19","19","12","1048575","4094","4294967294","19","19","19","19","PASS"
"PROTOCOL-20260727-071456","20","20","12","1048575","4095","4294967295","20","20","20","20","PASS"
"PROTOCOL-20260727-071456","21","21","18","0","0","0","21","21","21","21","PASS"
"PROTOCOL-20260727-071456","22","22","18","0","1","1","22","22","22","22","PASS"
"PROTOCOL-20260727-071456","23","23","18","0","262142","262142","23","23","23","23","PASS"
"PROTOCOL-20260727-071456","24","24","18","0","262143","262143","24","24","24","24","PASS"
"PROTOCOL-20260727-071456","25","25","18","1","0","262144","25","25","25","25","PASS"
"PROTOCOL-20260727-071456","26","26","18","1","1","262145","26","26","26","26","PASS"
"PROTOCOL-20260727-071456","27","27","18","1","262142","524286","27","27","27","27","PASS"
"PROTOCOL-20260727-071456","28","28","18","1","262143","524287","28","28","28","28","PASS"
"PROTOCOL-20260727-071456","29","29","18","17","0","4456448","29","29","29","29","PASS"
"PROTOCOL-20260727-071456","30","30","18","17","1","4456449","30","30","30","30","PASS"
"PROTOCOL-20260727-071456","31","31","18","17","262142","4718590","31","31","31","31","PASS"
"PROTOCOL-20260727-071456","32","32","18","17","262143","4718591","32","32","32","32","PASS"
"PROTOCOL-20260727-071456","33","33","18","16382","0","4294443008","33","33","33","33","PASS"
"PROTOCOL-20260727-071456","34","34","18","16382","1","4294443009","34","34","34","34","PASS"
"PROTOCOL-20260727-071456","35","35","18","16382","262142","4294705150","35","35","35","35","PASS"
"PROTOCOL-20260727-071456","36","36","18","16382","262143","4294705151","36","36","36","36","PASS"
"PROTOCOL-20260727-071456","37","37","18","16383","0","4294705152","37","37","37","37","PASS"
"PROTOCOL-20260727-071456","38","38","18","16383","1","4294705153","38","38","38","38","PASS"
"PROTOCOL-20260727-071456","39","39","18","16383","262142","4294967294","39","39","39","39","PASS"
"PROTOCOL-20260727-071456","40","40","18","16383","262143","4294967295","40","40","40","40","PASS"
