RunID,PDUId,Mode,Direction,SNBits,SN,SI,SO,Poll,HeaderHex,PayloadBytes,EncodedSHA256,DecodedSHA256,MismatchCount,Status
"PROTOCOL-20260727-071456","1","1","DL","12","0","0",,"0","8000","0","8509b81230019d2ad970d970f791dfbdc8caf54f5c594fcd327cef9feed206c1","8509b81230019d2ad970d970f791dfbdc8caf54f5c594fcd327cef9feed206c1","0","PASS"
"PROTOCOL-20260727-071456","2","2","DL","12","0","1",,"0","9000","0","48a5ec61abec0eafe3e31b9a2148ea0818595dc8e42fae637ad1d2bf8d8a2959","48a5ec61abec0eafe3e31b9a2148ea0818595dc8e42fae637ad1d2bf8d8a2959","0","PASS"
"PROTOCOL-20260727-071456","3","3","DL","12","0","2","0","0","A0000000","0","709eddfc631541f3ecea46e733bbf3043279bddfb51fdfd7be60efbc2714537e","709eddfc631541f3ecea46e733bbf3043279bddfb51fdfd7be60efbc2714537e","0","PASS"
"PROTOCOL-20260727-071456","4","4","DL","12","0","2","1","0","A0000001","0","1310235e4e30262d52e5b82f9861f873f2fdd7868ffe3add7392e99c399b680b","1310235e4e30262d52e5b82f9861f873f2fdd7868ffe3add7392e99c399b680b","0","PASS"
"PROTOCOL-20260727-071456","5","5","DL","12","0","2","1024","0","A0000400","0","86cc917e71278ed8997e83d84f23eae959a027b1fe1073d89b644fc63c4ccc37","86cc917e71278ed8997e83d84f23eae959a027b1fe1073d89b644fc63c4ccc37","0","PASS"
"PROTOCOL-20260727-071456","6","6","DL","12","0","2","65535","0","A000FFFF","0","583862b441bb2c3405ea5fd90b6571f0864d770bcd300caeb1b508d6ea6cc7c0","583862b441bb2c3405ea5fd90b6571f0864d770bcd300caeb1b508d6ea6cc7c0","0","PASS"
"PROTOCOL-20260727-071456","7","7","DL","12","0","3","0","0","B0000000","0","10a4ac7a3bbd1bc41e0d48c9683c7ccdc7bbf2e313f001d85b21aeafcbb48e8c","10a4ac7a3bbd1bc41e0d48c9683c7ccdc7bbf2e313f001d85b21aeafcbb48e8c","0","PASS"
"PROTOCOL-20260727-071456","8","8","DL","12","0","3","1","0","B0000001","0","1a3e78cf93293877e5a2f38714c3cd94979246b233cfb6b53bf604782dc65e18","1a3e78cf93293877e5a2f38714c3cd94979246b233cfb6b53bf604782dc65e18","0","PASS"
"PROTOCOL-20260727-071456","9","9","DL","12","0","3","1024","0","B0000400","0","c659f7b77336f7aae3d68f941332064f8000e83f6765cdfec6de893de2d1058c","c659f7b77336f7aae3d68f941332064f8000e83f6765cdfec6de893de2d1058c","0","PASS"
"PROTOCOL-20260727-071456","10","10","DL","12","0","3","65535","0","B000FFFF","0","1d08555b6879a89429ef9f4391323893da4d40c5a60fd0a498e1f463f5b1dac4","1d08555b6879a89429ef9f4391323893da4d40c5a60fd0a498e1f463f5b1dac4","0","PASS"
