RunID,EventSequence,UEID,Endpoint,FromState,Event,ToState,PeerState,Converged,Status
"PROTOCOL-20260727-071456","1","1","1","RRC_IDLE","CELL_SELECTED","RRC_IDLE","1","true","PASS"
"PROTOCOL-20260727-071456","2","2","2","RRC_IDLE","RRC_SETUP_REQUEST_SENT","CONNECTING","2","true","PASS"
"PROTOCOL-20260727-071456","3","3","3","CONNECTING","RRC_SETUP_DECODED","CONNECTING","3","true","PASS"
"PROTOCOL-20260727-071456","4","4","4","CONNECTING","RRC_SETUP_COMPLETE_DECODED","RRC_CONNECTED","4","true","PASS"
"PROTOCOL-20260727-071456","5","5","5","RRC_CONNECTED","SECURITY_MODE_COMMAND_DECODED","SECURITY_PENDING","5","true","PASS"
"PROTOCOL-20260727-071456","6","6","6","SECURITY_PENDING","SECURITY_MODE_COMPLETE_DECODED","RRC_CONNECTED","6","true","PASS"
"PROTOCOL-20260727-071456","7","7","7","RRC_CONNECTED","RRC_RECONFIGURATION_DECODED","RECONFIGURATION_PENDING","7","true","PASS"
"PROTOCOL-20260727-071456","8","8","8","RECONFIGURATION_PENDING","RRC_RECONFIGURATION_COMPLETE_DECODED","RRC_CONNECTED","8","true","PASS"
"PROTOCOL-20260727-071456","9","9","9","RRC_CONNECTED","RRC_RELEASE_WITH_SUSPEND","RRC_INACTIVE","9","true","PASS"
"PROTOCOL-20260727-071456","10","10","10","RRC_INACTIVE","RRC_RESUME_REQUEST_SENT","RESUMING","10","true","PASS"
"PROTOCOL-20260727-071456","11","11","11","RESUMING","RRC_RESUME_COMPLETE_DECODED","RRC_CONNECTED","11","true","PASS"
"PROTOCOL-20260727-071456","12","12","12","RRC_CONNECTED","RLF_DECLARED","REESTABLISHING","12","true","PASS"
"PROTOCOL-20260727-071456","13","13","13","REESTABLISHING","RRC_REESTABLISHMENT_COMPLETE_DECODED","RRC_CONNECTED","13","true","PASS"
"PROTOCOL-20260727-071456","14","14","14","RRC_CONNECTED","RRC_RELEASE","RRC_IDLE","14","true","PASS"
"PROTOCOL-20260727-071456","15","15","15","RRC_IDLE","CELL_SELECTED","RRC_IDLE","15","true","PASS"
