RunID,CaseID,ProfileID,Feature,ExpectedSupported,ActualSupported,PlanningRejected,StateChanged,Status
"PROTOCOL-20260727-071456","CP0001","nr_rel18_connected_mode_bounded_strict","RLC_TM","true","true","false","false","PASS"
"PROTOCOL-20260727-071456","CP0002","nr_rel18_connected_mode_bounded_strict","RLC_UM6","true","true","false","false","PASS"
"PROTOCOL-20260727-071456","CP0003","nr_rel18_connected_mode_bounded_strict","RLC_UM12","true","true","false","false","PASS"
"PROTOCOL-20260727-071456","CP0004","nr_rel18_connected_mode_bounded_strict","RLC_AM12","true","true","false","false","PASS"
"PROTOCOL-20260727-071456","CP0005","nr_rel18_connected_mode_bounded_strict","RLC_AM18","true","true","false","false","PASS"
"PROTOCOL-20260727-071456","CP0006","nr_rel18_connected_mode_bounded_strict","RLC_STATUS_SEGMENT_NACK","true","true","false","false","PASS"
"PROTOCOL-20260727-071456","CP0007","nr_rel18_connected_mode_bounded_strict","PDCP_SRB12","true","true","false","false","PASS"
"PROTOCOL-20260727-071456","CP0008","nr_rel18_connected_mode_bounded_strict","PDCP_DRB12","true","true","false","false","PASS"
"PROTOCOL-20260727-071456","CP0009","nr_rel18_connected_mode_bounded_strict","PDCP_DRB18","true","true","false","false","PASS"
"PROTOCOL-20260727-071456","CP0010","nr_rel18_connected_mode_bounded_strict","PDCP_NEA0_NIA0","true","true","false","false","PASS"
"PROTOCOL-20260727-071456","CP0011","nr_rel18_connected_mode_bounded_strict","PDCP_NEA2_NIA2","true","true","false","false","PASS"
"PROTOCOL-20260727-071456","CP0012","nr_rel18_connected_mode_bounded_strict","PDCP_DUPLICATION_BOUNDED","true","true","false","false","PASS"
"PROTOCOL-20260727-071456","CP0013","nr_rel18_connected_mode_bounded_strict","SDAP_UL_DL_HEADER","true","true","false","false","PASS"
"PROTOCOL-20260727-071456","CP0014","nr_rel18_connected_mode_bounded_strict","SDAP_END_MARKER","true","true","false","false","PASS"
"PROTOCOL-20260727-071456","CP0015","nr_rel18_connected_mode_bounded_strict","SDAP_REFLECTIVE_QOS","true","true","false","false","PASS"
"PROTOCOL-20260727-071456","CP0016","nr_rel18_connected_mode_bounded_strict","RRC_SETUP","true","true","false","false","PASS"
"PROTOCOL-20260727-071456","CP0017","nr_rel18_connected_mode_bounded_strict","RRC_SECURITY_MODE","true","true","false","false","PASS"
"PROTOCOL-20260727-071456","CP0018","nr_rel18_connected_mode_bounded_strict","RRC_CAPABILITY","true","true","false","false","PASS"
"PROTOCOL-20260727-071456","CP0019","nr_rel18_connected_mode_bounded_strict","RRC_RECONFIG_BEARER","true","true","false","false","PASS"
"PROTOCOL-20260727-071456","CP0020","nr_rel18_connected_mode_bounded_strict","RRC_RELEASE","true","true","false","false","PASS"
"PROTOCOL-20260727-071456","CP0021","nr_rel18_connected_mode_bounded_strict","RRC_REESTABLISHMENT","true","true","false","false","PASS"
"PROTOCOL-20260727-071456","CP0022","nr_rel18_connected_mode_bounded_strict","RRC_RESUME","true","true","false","false","PASS"
"PROTOCOL-20260727-071456","CP0023","nr_rel18_connected_mode_bounded_strict","INTRA_FREQ_HO","false","false","true","false","PASS"
"PROTOCOL-20260727-071456","CP0024","nr_rel18_connected_mode_bounded_strict","CBR_PACKET_TRAFFIC","true","true","false","false","PASS"
"PROTOCOL-20260727-071456","CP0025","nr_rel18_connected_mode_bounded_strict","POISSON_TRAFFIC","true","true","false","false","PASS"
"PROTOCOL-20260727-071456","CP0026","nr_rel18_connected_mode_bounded_strict","XR_PDU_SET","true","true","false","false","PASS"
"PROTOCOL-20260727-071456","CP0027","nr_rel18_connected_mode_bounded_strict","TRACE_REPLAY","true","true","false","false","PASS"
"PROTOCOL-20260727-071456","CP0028","nr_rel18_connected_mode_bounded_strict","ROHC_FULL","false","false","true","false","PASS"
"PROTOCOL-20260727-071456","CP0029","nr_rel18_connected_mode_bounded_strict","EHC_FULL","false","false","true","false","PASS"
"PROTOCOL-20260727-071456","CP0030","nr_rel18_connected_mode_bounded_strict","UDC_FULL","false","false","true","false","PASS"
"PROTOCOL-20260727-071456","CP0031","nr_rel18_connected_mode_bounded_strict","DAPS_HO","false","false","true","false","PASS"
