RunID,MessageID,MessageType,Channel,TransactionID,ASN1Release,EncodedBits,EncodedHex,DecodedTreeSHA256,IndependentVectorSHA256,MismatchCount,Status
"PROTOCOL-20260727-071456","22","UECapabilityInformation","UL-DCCH","0","38.331-v18.9.0","16","4800","e51bc547e7dfa473bc7a8f5b31b55c93f74f6c45becfc92d1ef0264a5f8fb23e","3fa72f4315b4970a0e5b6b1f774bf1f3253f4cdef5cf7cd725262f2be754aaad","0","PASS"
"PROTOCOL-20260727-071456","23","UECapabilityInformation","UL-DCCH","1","38.331-v18.9.0","16","4A00","3c59bc9dcfa8fb7a4ac7da794aae5874216d63241c84e11322ca5d6cc5e1b7ec","bc0cb1ed0b4717c5dfa7ca6b9c6f749b993c02c11346a850866ee773c838bbed","0","PASS"
"PROTOCOL-20260727-071456","24","UECapabilityInformation","UL-DCCH","2","38.331-v18.9.0","16","4C00","686d35b84d56dfe75407582fd1df2b9ccf45df22a4d616c5ff1053e6202285a8","442a734c6d03140f351a31fee0c251826f8f83a59c0504fff961ff96a027c3d8","0","PASS"
"PROTOCOL-20260727-071456","25","UECapabilityInformation","UL-DCCH","3","38.331-v18.9.0","16","4E00","d7263f4986219a5aca2544d057ee69e9ee5af4af8f8083bc043f5fabf0d5e935","365b264617d4dec31ed19476a3594381583829899f801bd0260b10a4e9168528","0","PASS"
"PROTOCOL-20260727-071456","26","RRCReconfiguration","DL-DCCH","0","38.331-v18.9.0","16","0000","839542e61693b551e215b4442f1e0c9625ba27451bb4bc94d9ddb8fa4a2fb62f","f28de5513cb26bd8685f2a2f5b18aa25c0f81dae19dad2e7f91071abf12a3770","0","PASS"
"PROTOCOL-20260727-071456","27","RRCReconfiguration","DL-DCCH","1","38.331-v18.9.0","16","0200","efb9c70dddda9b1aada12918830ff1b30cb569fe31bfea6cbd26781e1a62c680","30b2e5423c35aa05e2e19caa818632d5ff1575c352065edece3df2b60d8735a5","0","PASS"
"PROTOCOL-20260727-071456","28","RRCReconfiguration","DL-DCCH","2","38.331-v18.9.0","16","0400","7132ab5a3343b430000656910bee3c737a18aa00dde13915ebc6d94aea36859f","5824283026747607943e8e54435dd517e48c9469b15d23dedf694dc68330cd9c","0","PASS"
"PROTOCOL-20260727-071456","29","RRCReconfiguration","DL-DCCH","3","38.331-v18.9.0","16","0600","ccf8f2ef1ef66ffb84cc9d35a11bafa270459ad4160b57b8594b556f5448dd86","0899d300ae0214d3090874e7b80972c3a9dc7094f9f61001e1270f045a899e11","0","PASS"
"PROTOCOL-20260727-071456","30","RRCReconfigurationComplete","UL-DCCH","0","38.331-v18.9.0","16","0800","5854f4a8b76cb55b5e59cbf546df694323bd50d51c1d0f1b0ad9dc503bfea199","1ebd767fc6028a81236a754d7788b6e9ba2b5ce89746548bf65944f3fe77ad01","0","PASS"
"PROTOCOL-20260727-071456","31","RRCReconfigurationComplete","UL-DCCH","1","38.331-v18.9.0","16","0A00","c2824ae99b091ad2196f6e6f2389314be09471187d7de1e066c104bfa6e04de2","a71e095de5acc22946fb6bbb04f36235dd7c73fdadd4227e94123cd593f00e93","0","PASS"
"PROTOCOL-20260727-071456","32","RRCReconfigurationComplete","UL-DCCH","2","38.331-v18.9.0","16","0C00","82e273ab96f269b28665108019fe435e86b63bf5655d96cb7ac92202edb8789d","58a576f80c55896b8786471cdc637c81417724bbd4109ec679f37f2a4c4379d3","0","PASS"
"PROTOCOL-20260727-071456","33","RRCReconfigurationComplete","UL-DCCH","3","38.331-v18.9.0","16","0E00","14a6aed7a3de30877d66d576781cb3c83e07ef983b7ac03d333d6ea99048caac","4a375b063744106f8eaead3bbee7616993be35ead1737aa2c9d507634b9e619d","0","PASS"
"PROTOCOL-20260727-071456","34","MeasurementReport","UL-DCCH","0","38.331-v18.9.0","40","0000000000","c264ef38ef6273427a598c6c83b2ddec4379058019a026fec58b74158761710a","e49940fd38c8f148886139df8715655b5cda8d00b6b88e2927ca4fbe60a25664","0","PASS"
"PROTOCOL-20260727-071456","35","RRCRelease","DL-DCCH","0","38.331-v18.9.0","16","1000","5e47db38b8e62019c574657ec200af98df1ee7c5242fa1f62044a6a46611bd0a","7986a6d92cca2e5e705f9739d3b4b73d958f7ab91fc623b779d78e12e08a61a1","0","PASS"
"PROTOCOL-20260727-071456","36","RRCReestablishmentRequest","UL-CCCH","0","38.331-v18.9.0","48","400020000004","50dbb0de6bfc834d6fe97f2e1cb6adaa1961b1d3cf299ebc470966c50182154f","059b85cb7fdb4b22df67d3741ce74986dddb5ce3f52b5cd9cc05fd32b5428672","0","PASS"
"PROTOCOL-20260727-071456","37","RRCReestablishment","DL-DCCH","0","38.331-v18.9.0","16","1800","415c8b601eb6e0cc11925cb3fd6a764bd5f348cfa81cf67c93a44f506010557f","c4399032b58e83746cd00e6a477ba5a2cca2fcd83f7f5e6ab9a968eb1d4644d0","0","PASS"
"PROTOCOL-20260727-071456","38","RRCReestablishment","DL-DCCH","1","38.331-v18.9.0","16","1A00","585267656f217694961755ad57e7ccc31ca6f76a0fce129bf8837673faa144b3","7633443594495897b8e121f11e311ad3b2bafc7d9534b265b1a9bc41e2c84549","0","PASS"
"PROTOCOL-20260727-071456","39","RRCReestablishment","DL-DCCH","2","38.331-v18.9.0","16","1C00","54cba069ad5861772069b83635513b0d6d09be58ec7668d96b845a33225c688d","22d4c3797f9bf7e6cb56567f3db76f90cad5ef6af1905ea1923386e171d3e95d","0","PASS"
"PROTOCOL-20260727-071456","40","RRCReestablishment","DL-DCCH","3","38.331-v18.9.0","16","1E00","b651ddd2642bcdf286e290e8dd904b8d8bbb092eaa21b0049657071bec018aff","4e9f45d355f8666d5ed325e0813ab24faba93b18f843ec3ad8ba218d9dc60b3f","0","PASS"
"PROTOCOL-20260727-071456","41","RRCReestablishmentComplete","UL-DCCH","0","38.331-v18.9.0","16","1800","bfc66d521eb70715cbf559e08174cbeb21e04e8e57f036fb9cfcc82281e92b16","0320f97864bf4d65818ddc485a16776df381714373fd6debf11204576ad95fcf","0","PASS"
"PROTOCOL-20260727-071456","42","RRCReestablishmentComplete","UL-DCCH","1","38.331-v18.9.0","16","1A00","a63b3819af457073c1122962d0ca6a3363b708e5f387708bd1402df4eb2d2464","9f82b61c8267df180c01f33ed5babec4eb4d36397013176768e46f7b1df5c681","0","PASS"
"PROTOCOL-20260727-071456","43","RRCReestablishmentComplete","UL-DCCH","2","38.331-v18.9.0","16","1C00","d64057190db9dcc67dd4b53f4ee102685e90b36a6ebaec02f8dfe8367e221b27","e5f9e840961345ffd5821491e856cd884c1e09260d0b2f88d2646b8c3a16a801","0","PASS"
"PROTOCOL-20260727-071456","44","RRCReestablishmentComplete","UL-DCCH","3","38.331-v18.9.0","16","1E00","c02e45a73e6efc04294dfe64506e088436c20fcac4ed72977b3846e7cf3d0123","f0732c29e5add3b711168a3903f27c28c0261a9dac87502c30e7813ad661158a","0","PASS"
"PROTOCOL-20260727-071456","45","RRCResumeRequest","UL-CCCH","0","38.331-v18.9.0","48","22468AC00008","ebb21c84cd5bb65a3d266d8fdadfec4b59ed160718e2c453cfb117f90ca219b2","4724fe072597cdfb8616c4c5706126d0297c59fe0dba50d38ba1d0a7a7622ec4","0","PASS"
"PROTOCOL-20260727-071456","46","RRCResume","DL-DCCH","0","38.331-v18.9.0","16","0800","9a5dbedae8d173f2f3032e8f6a095fbf002d9f4be2bfb57f8310dc2366cd330e","c269603830beefcada5e6424772b4a7e6b6d313b6422de298027fa1c72b8aeff","0","PASS"
"PROTOCOL-20260727-071456","47","RRCResume","DL-DCCH","1","38.331-v18.9.0","16","0A00","49c43cdd861f501f9b12c282aff457bfe8a0d09b016e74965cc270c92c83a97f","c856a8b2b54082782d61ad639521d17291c976b02094cf4c4bcda27d101fc577","0","PASS"
"PROTOCOL-20260727-071456","48","RRCResume","DL-DCCH","2","38.331-v18.9.0","16","0C00","edc10510af2e4634293047f989b831a8e3c3fc654787ce69897e83d60f8aa4f7","7cec9b1a1914ce614f8106f9e787256e60a45a0445562da241541bbaaa7e75ce","0","PASS"
"PROTOCOL-20260727-071456","49","RRCResume","DL-DCCH","3","38.331-v18.9.0","16","0E00","86bb3e869abafcfb88f901015ed760da016e095151ab8280f762b66f95598a59","872e92e556b12724c8e09f34b47a3a417f2cce704b38d44a4c40858a437ca6ca","0","PASS"
"PROTOCOL-20260727-071456","50","RRCResumeComplete","UL-DCCH","0","38.331-v18.9.0","16","2000","559e0559383306b013d4e3b54f5e30eeb9fa58c21d83f6860364e7ac32507d2c","96944b75300a2852ebcc91b9b7c186c99815acb029586df21300abc766739b0d","0","PASS"
"PROTOCOL-20260727-071456","51","RRCResumeComplete","UL-DCCH","1","38.331-v18.9.0","16","2200","29473f87003963e68f9bd73bc8c10b0c7117ce4ad9cef1aee313698a27bce570","cce42a7f6a542ac3c36168039a03fdc65d7f8181ee8e2ce98f00a48c3e87e304","0","PASS"
"PROTOCOL-20260727-071456","52","RRCResumeComplete","UL-DCCH","2","38.331-v18.9.0","16","2400","f4c29fcf788666e4d3a9766b5bc3575bc2a9156b161993e66d2a69118ca3fdd5","d45b7905366be8f65f9b466fc6b28b5b611f91ae2481ed10bffb76826e3042e7","0","PASS"
"PROTOCOL-20260727-071456","53","RRCResumeComplete","UL-DCCH","3","38.331-v18.9.0","16","2600","76440f8a77a7ee894c2afda07798dd0ac822fb853efb22779c44b459256530a5","99b81effba9e8377f141e7dba35a92075d16cb7e7e249add403366142545fddf","0","PASS"
