CampaignID,OperatingPointID,SNRdB,ChannelModel,Rank,MCSIndex,Modulation,Trials,TBErrors,BLER,ConfidenceLevel,CILower,CIUpper,CIHalfWidth,MinErrorsRequired,StopReason,Status
BLER-TDL-R2-16QAM,OP-01,-15,TDL-A,2,10,16QAM,4,4,1,0.95,0.510109163545403,1,0.244945418227299,1,CI_AND_MIN_ERRORS_MET,PASS
BLER-TDL-R2-16QAM,OP-02,-10,TDL-A,2,10,16QAM,4,4,1,0.95,0.510109163545403,1,0.244945418227299,1,CI_AND_MIN_ERRORS_MET,PASS
BLER-TDL-R2-16QAM,OP-03,-5,TDL-A,2,10,16QAM,4,4,1,0.95,0.510109163545403,1,0.244945418227299,1,CI_AND_MIN_ERRORS_MET,PASS
BLER-TDL-R2-16QAM,OP-04,0,TDL-A,2,10,16QAM,6,1,0.166666666666667,0.95,0.0300533697483066,0.56350282218647,0.266724726219082,1,CI_AND_MIN_ERRORS_MET,PASS
BLER-CDL-R4-64QAM,OP-01,25,CDL-C,4,18,64QAM,4,3,0.75,0.95,0.300641842582402,0.954412739190299,0.326885448303949,1,CI_AND_MIN_ERRORS_MET,PASS
BLER-CDL-R4-64QAM,OP-02,35,CDL-C,4,18,64QAM,8,0,0,0.95,0,0.312343978066368,0.156171989033184,1,MAX_TB_CENSORED_BOUND_MET,PASS
BLER-CDL-R4-64QAM,OP-03,45,CDL-C,4,18,64QAM,8,0,0,0.95,0,0.312343978066368,0.156171989033184,1,MAX_TB_CENSORED_BOUND_MET,PASS
BLER-CDL-R4-64QAM,OP-04,55,CDL-C,4,18,64QAM,8,0,0,0.95,0,0.312343978066368,0.156171989033184,1,MAX_TB_CENSORED_BOUND_MET,PASS
BLER-AWGN-HARQ-0231,OP-01,-20,AWGN,1,4,QPSK,4,4,1,0.95,0.510109163545403,1,0.244945418227299,1,CI_AND_MIN_ERRORS_MET,PASS
BLER-AWGN-HARQ-0231,OP-02,-15,AWGN,1,4,QPSK,4,4,1,0.95,0.510109163545403,1,0.244945418227299,1,CI_AND_MIN_ERRORS_MET,PASS
BLER-AWGN-HARQ-0231,OP-03,-10,AWGN,1,4,QPSK,4,4,1,0.95,0.510109163545403,1,0.244945418227299,1,CI_AND_MIN_ERRORS_MET,PASS
BLER-AWGN-HARQ-0231,OP-04,-5,AWGN,1,4,QPSK,8,0,0,0.95,0,0.312343978066368,0.156171989033184,1,MAX_TB_CENSORED_BOUND_MET,PASS
