Capture,SourceCSV,ReceiverDTX,ProjectedDTX,ProjectedReason,EvidenceScope
pucch_baseline_signal_02,docs\lls\evidence_20260913\pucch_baseline_signal_02\received_pucch_trials.csv,1,1,receiver_reported_dtx,projection_of_retained_actual_receiver_decision_not_new_phy
pucch_baseline_signal_03,docs\lls\evidence_20260913\pucch_baseline_signal_03\received_pucch_trials.csv,0,0,,projection_of_retained_actual_receiver_decision_not_new_phy
