relative_path,source_row_number,preview_state,nonblank_cell_count,missing_or_nan_cell_count,finite_numeric_cell_count,zero_numeric_cell_count,nonzero_numeric_cell_count,header_json,values_json
reports/csv/live_link_adaptation_input_table.csv,3,observed_row,27,0,20,2,18,"[""Direction"", ""TraceSource"", ""Slot"", ""Frame"", ""UEIndex"", ""RNTI"", ""ServingCell"", ""ConfiguredSNR_dB"", ""AppliedAWGNSNR_dB"", ""PostEqSINR_dB"", ""MeasuredTrialSINR_dB"", ""MeasuredWidebandSINR_dB"", ""EstimatedWidebandSINR_dB"", ""ReceiverHestSINR_dB"", ""WidebandCQI"", ""CQIDerivedMCS"", ""CQIDerivedModulation"", ""CQIDerivedTargetCodeRate"", ""MCSIndex"", ""Modulation"", ""TargetCodeRate"", ""PMI"", ""CRI"", ""RankIndicator"", ""ValueRole"", ""ValueSource"", ""ValueStatus""]","[""DL"", ""air_interface/csv/dl_pdsch_trials.csv"", ""13"", ""2"", ""1"", ""1"", ""1"", ""12"", ""35.7770728161267"", ""23.8221474127751"", ""23.8221474127751"", ""23.8221474127751"", ""23.8221474127751"", ""55.4140042605574"", ""14"", ""26"", ""64QAM"", ""0.8525390625"", ""26"", ""64QAM"", ""0.8525390625"", ""0"", ""0"", ""1"", ""measured_post_equalization_scheduling_input"", ""canonical_decision_directed_post_equalization_residual_bounded_equalizer_sinr"", ""PASS""]"
reports/csv/live_link_table.csv,1,observed_row,12,0,10,0,10,"[""run_id"", ""direction"", ""ue_id"", ""cell_id"", ""frame"", ""slot"", ""measured_sinr_db"", ""wideband_cqi"", ""mcs"", ""tb_size_bits"", ""channel_gain_db"", ""source_artifact""]","[""9183572551"", ""DL"", ""1"", ""1"", ""2"", ""11"", ""36.3698694002083"", ""15"", ""1"", ""1064"", ""24.0417579824848"", ""air_interface/csv/dl_pdsch_trials.csv""]"
reports/csv/live_link_table.csv,2,observed_row,12,0,10,0,10,"[""run_id"", ""direction"", ""ue_id"", ""cell_id"", ""frame"", ""slot"", ""measured_sinr_db"", ""wideband_cqi"", ""mcs"", ""tb_size_bits"", ""channel_gain_db"", ""source_artifact""]","[""9183572551"", ""DL"", ""1"", ""1"", ""2"", ""12"", ""33.8360223780799"", ""14"", ""26"", ""17424"", ""21.0275621898104"", ""air_interface/csv/dl_pdsch_trials.csv""]"
reports/csv/live_link_table.csv,3,observed_row,12,0,10,0,10,"[""run_id"", ""direction"", ""ue_id"", ""cell_id"", ""frame"", ""slot"", ""measured_sinr_db"", ""wideband_cqi"", ""mcs"", ""tb_size_bits"", ""channel_gain_db"", ""source_artifact""]","[""9183572551"", ""DL"", ""1"", ""1"", ""2"", ""13"", ""23.8221474127751"", ""14"", ""26"", ""704"", ""23.7206448587918"", ""air_interface/csv/dl_pdsch_trials.csv""]"
reports/csv/live_llr_summary.csv,1,observed_row,10,0,8,0,8,"[""run_id"", ""direction"", ""ue_id"", ""frame"", ""slot"", ""source_artifact"", ""llr_mean_abs"", ""llr_std_abs"", ""llr_imbalance"", ""decoder_iterations""]","[""9183572551"", ""DL"", ""1"", ""2"", ""11"", ""air_interface/csv/dl_pdsch_trials.csv"", ""10559.443994667"", ""3586.09509593563"", ""0.000132510640809426"", ""1""]"
reports/csv/live_llr_summary.csv,2,observed_row,10,0,8,0,8,"[""run_id"", ""direction"", ""ue_id"", ""frame"", ""slot"", ""source_artifact"", ""llr_mean_abs"", ""llr_std_abs"", ""llr_imbalance"", ""decoder_iterations""]","[""9183572551"", ""DL"", ""1"", ""2"", ""12"", ""air_interface/csv/dl_pdsch_trials.csv"", ""307.495227133399"", ""731.278446236633"", ""0.0119590371116344"", ""1""]"
reports/csv/live_llr_summary.csv,3,observed_row,10,0,8,0,8,"[""run_id"", ""direction"", ""ue_id"", ""frame"", ""slot"", ""source_artifact"", ""llr_mean_abs"", ""llr_std_abs"", ""llr_imbalance"", ""decoder_iterations""]","[""9183572551"", ""DL"", ""1"", ""2"", ""13"", ""air_interface/csv/dl_pdsch_trials.csv"", ""30.8190640497508"", ""75.8667933655392"", ""0.0597049521409824"", ""1""]"
reports/csv/live_mac_ce_state.csv,1,observed_row,10,0,7,0,7,"[""run_id"", ""direction"", ""ue_id"", ""frame"", ""slot"", ""uci_type"", ""expected_ack"", ""observed_ack"", ""pucch_decode_ok"", ""source_artifact""]","[""9183572551"", ""UL"", ""1"", ""2"", ""14"", ""harq_ack"", ""1"", ""1"", ""1"", ""packet_flow/csv/live_pucch_grants.csv""]"
reports/csv/live_mac_ce_state.csv,2,observed_row,10,0,7,0,7,"[""run_id"", ""direction"", ""ue_id"", ""frame"", ""slot"", ""uci_type"", ""expected_ack"", ""observed_ack"", ""pucch_decode_ok"", ""source_artifact""]","[""9183572551"", ""UL"", ""1"", ""2"", ""14"", ""harq_ack"", ""1"", ""1"", ""1"", ""packet_flow/csv/live_pucch_grants.csv""]"
reports/csv/live_mac_ce_state.csv,3,observed_row,10,0,7,0,7,"[""run_id"", ""direction"", ""ue_id"", ""frame"", ""slot"", ""uci_type"", ""expected_ack"", ""observed_ack"", ""pucch_decode_ok"", ""source_artifact""]","[""9183572551"", ""UL"", ""1"", ""2"", ""14"", ""harq_ack"", ""1"", ""1"", ""1"", ""packet_flow/csv/live_pucch_grants.csv""]"
reports/csv/live_mac_pdu_summary.csv,1,observed_row,11,0,8,0,8,"[""run_id"", ""direction"", ""ue_id"", ""frame"", ""slot"", ""source_artifact"", ""tb_size_bits"", ""mcs"", ""modulation"", ""crc_pass"", ""goodput_mbps""]","[""9183572551"", ""DL"", ""1"", ""2"", ""11"", ""air_interface/csv/dl_pdsch_trials.csv"", ""1064"", ""1"", ""QPSK"", ""1"", ""1.064""]"
reports/csv/live_mac_pdu_summary.csv,2,observed_row,11,0,8,0,8,"[""run_id"", ""direction"", ""ue_id"", ""frame"", ""slot"", ""source_artifact"", ""tb_size_bits"", ""mcs"", ""modulation"", ""crc_pass"", ""goodput_mbps""]","[""9183572551"", ""DL"", ""1"", ""2"", ""12"", ""air_interface/csv/dl_pdsch_trials.csv"", ""17424"", ""26"", ""64QAM"", ""1"", ""17.424""]"
reports/csv/live_mac_pdu_summary.csv,3,observed_row,11,0,8,0,8,"[""run_id"", ""direction"", ""ue_id"", ""frame"", ""slot"", ""source_artifact"", ""tb_size_bits"", ""mcs"", ""modulation"", ""crc_pass"", ""goodput_mbps""]","[""9183572551"", ""DL"", ""1"", ""2"", ""13"", ""air_interface/csv/dl_pdsch_trials.csv"", ""704"", ""26"", ""64QAM"", ""1"", ""0.704""]"
