RunID,FamilyID,PairID,BaselineExperimentID,TreatmentExperimentID,Metric,BaselineValue,TreatmentValue,AbsoluteEffect,RelativeEffectPercent,EffectDirection,CILower,CIUpper,PValue,AdjustedPValue,EffectSize,Status
frame_grid_impact_20260726T132620Z,F01,FG-F01,FG-F01-E01,FG-F01-E02,ResolvedSlotsPerFrame,10,40,30,300,higher,30,30,9.3576e-14,8.4219e-13,3,PASS
frame_grid_impact_20260726T132620Z,F02,FG-F02,FG-F02-E01,FG-F02-E02,ResolvedNRB,11,92,81,736.3636,higher,81,81,6.6397e-36,6.6397e-35,7.3636,PASS
frame_grid_impact_20260726T132620Z,F03,FG-F03,FG-F03-E01,FG-F03-E02,Nfft,256,2048,1792,700,higher,1792,1792,0,0,7,PASS
frame_grid_impact_20260726T132620Z,F04,FG-F04,FG-F04-E01,FG-F04-E02,ResolvedDirection,0,0.32857,0.32857,32.8571,higher,0.32857,0.32857,0.71995,1,0.32857,PASS
frame_grid_impact_20260726T132620Z,F05,FG-F05,FG-F05-E01,FG-F05-E02,ResolutionSource,0,0.057143,0.057143,5.7143,higher,0.057143,0.057143,0.94446,1,0.057143,PASS
frame_grid_impact_20260726T132620Z,F06,FG-F06,FG-F06-E01,FG-F06-E02,NumRB,1,1,0,0,equal,0,0,1,1,0,PASS
frame_grid_impact_20260726T132620Z,F07,FG-F07,FG-F07-E01,FG-F07-E02,ActualValid,0,1,1,100,higher,1,1,0.36788,1,1,PASS
frame_grid_impact_20260726T132620Z,F08,FG-F08,FG-F08-E01,FG-F08-E02,StartSymbol,2,212,210,10500,higher,210,210,6.2829e-92,6.9112e-91,105,PASS
frame_grid_impact_20260726T132620Z,F09,FG-F09,FG-F09-E01,FG-F09-E02,AbsoluteSlot,0,9,9,900,higher,9,9,0.00012341,0.00098728,9,PASS
frame_grid_impact_20260726T132620Z,F10,FG-F10,FG-F10-E01,FG-F10-E02,EVMPercent,1.7497e-14,2.22e-14,4.703e-15,4.703e-13,higher,4.703e-15,4.703e-15,1,1,4.703e-15,PASS
frame_grid_impact_20260726T132620Z,F11,FG-F11,FG-F11-E01,FG-F11-E02,AbsSlot,0,2,2,200,higher,2,2,0.13534,0.94735,2,PASS
frame_grid_impact_20260726T132620Z,F12,FG-F12,FG-F12-E01,FG-F12-E02,NumRB,24,24,0,0,equal,0,0,1,1,0,PASS
