RunID,ExperimentID,Variant,ObservedValue,SourceRows,SourceCSV_SHA256,Status
frame_grid_impact_20260726T132620Z,FG-F02-E01,baseline,11,1,3b8f7042e8624bf537965eaa31e49153fa78fe72ff75a192ac098e8e83d620d4,PASS
frame_grid_impact_20260726T132620Z,FG-F02-E02,treatment,92,1,3b8f7042e8624bf537965eaa31e49153fa78fe72ff75a192ac098e8e83d620d4,PASS
frame_grid_impact_20260726T132620Z,FG-F02-E03,stress,273,1,3b8f7042e8624bf537965eaa31e49153fa78fe72ff75a192ac098e8e83d620d4,PASS
