RunID,RuleID,FamilyID,Severity,Metric,ObservedValue,Comparator,Threshold,EvidenceRows,Passed,FailureReason,Status
frame_grid_impact_20260726T132620Z,FG-R-F01-H,F01,HARD,SourceRowsPASS,1,eq,1,3,true,,PASS
frame_grid_impact_20260726T132620Z,FG-R-F01-D,F01,DIAGNOSTIC,FiniteEffect,1,eq,1,3,true,,PASS
frame_grid_impact_20260726T132620Z,FG-R-F02-H,F02,HARD,SourceRowsPASS,1,eq,1,3,true,,PASS
frame_grid_impact_20260726T132620Z,FG-R-F02-D,F02,DIAGNOSTIC,FiniteEffect,1,eq,1,3,true,,PASS
frame_grid_impact_20260726T132620Z,FG-R-F03-H,F03,HARD,SourceRowsPASS,1,eq,1,3,true,,PASS
frame_grid_impact_20260726T132620Z,FG-R-F03-D,F03,DIAGNOSTIC,FiniteEffect,1,eq,1,3,true,,PASS
frame_grid_impact_20260726T132620Z,FG-R-F04-H,F04,HARD,SourceRowsPASS,1,eq,1,3,true,,PASS
frame_grid_impact_20260726T132620Z,FG-R-F04-D,F04,DIAGNOSTIC,FiniteEffect,1,eq,1,3,true,,PASS
frame_grid_impact_20260726T132620Z,FG-R-F05-H,F05,HARD,SourceRowsPASS,1,eq,1,3,true,,PASS
frame_grid_impact_20260726T132620Z,FG-R-F05-D,F05,DIAGNOSTIC,FiniteEffect,1,eq,1,3,true,,PASS
frame_grid_impact_20260726T132620Z,FG-R-F06-H,F06,HARD,SourceRowsPASS,1,eq,1,3,true,,PASS
frame_grid_impact_20260726T132620Z,FG-R-F06-D,F06,DIAGNOSTIC,FiniteEffect,1,eq,1,3,true,,PASS
frame_grid_impact_20260726T132620Z,FG-R-F07-H,F07,HARD,SourceRowsPASS,1,eq,1,3,true,,PASS
frame_grid_impact_20260726T132620Z,FG-R-F07-D,F07,DIAGNOSTIC,FiniteEffect,1,eq,1,3,true,,PASS
frame_grid_impact_20260726T132620Z,FG-R-F08-H,F08,HARD,SourceRowsPASS,1,eq,1,3,true,,PASS
frame_grid_impact_20260726T132620Z,FG-R-F08-D,F08,DIAGNOSTIC,FiniteEffect,1,eq,1,3,true,,PASS
frame_grid_impact_20260726T132620Z,FG-R-F09-H,F09,HARD,SourceRowsPASS,1,eq,1,3,true,,PASS
frame_grid_impact_20260726T132620Z,FG-R-F09-D,F09,DIAGNOSTIC,FiniteEffect,1,eq,1,3,true,,PASS
frame_grid_impact_20260726T132620Z,FG-R-F10-H,F10,HARD,SourceRowsPASS,1,eq,1,3,true,,PASS
frame_grid_impact_20260726T132620Z,FG-R-F10-D,F10,DIAGNOSTIC,FiniteEffect,1,eq,1,3,true,,PASS
frame_grid_impact_20260726T132620Z,FG-R-F11-H,F11,HARD,SourceRowsPASS,1,eq,1,3,true,,PASS
frame_grid_impact_20260726T132620Z,FG-R-F11-D,F11,DIAGNOSTIC,FiniteEffect,1,eq,1,3,true,,PASS
frame_grid_impact_20260726T132620Z,FG-R-F12-H,F12,HARD,SourceRowsPASS,1,eq,1,3,true,,PASS
frame_grid_impact_20260726T132620Z,FG-R-F12-D,F12,DIAGNOSTIC,FiniteEffect,1,eq,1,3,true,,PASS
