RunId,Direction,Rank,LayerCount,EligibleRows,DecodeSuccessRows,UsagePercent,SuccessPercent,BLER,StrictObjectiveRequired,StrictObjectivePass,Status,FailureReason
"","DL",2,2,6,0,1,0,1,1,0,"fail","rank_utilization_not_strict_success"
"","UL",2,2,2,0,1,0,1,1,0,"fail","rank_utilization_not_strict_success"
