RunId,SourceTablePath,SourceTableName,Direction,Layer,RequiredForObjective,Exists,RowCount,ColumnCount,FileHash,SchemaHash,ProducerModule,Status,FailureReason
"","air_interface/csv/ul_pusch_trials.csv","ul_pusch_trials","UL","PHY",1,1,2,730,"79a431b88beee829ccf4a71b68663ea90392c6e96cd62024edb67ecfaea2ea07","kpi_schema_v1","sixgr.kpi.reconstructLLSKPISummaryFromRaw","pass",""
"","air_interface/csv/dl_pdsch_trials.csv","dl_pdsch_trials","DL","PHY",1,1,6,730,"dfa09e1dd61080b1861a952ca346ef04aa521c7d64afddf450adeefff3a85b7f","kpi_schema_v1","sixgr.kpi.reconstructLLSKPISummaryFromRaw","pass",""
"","C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\artifacts\packet_flow\csv\live_packet_sdu_delivery_ledger.csv","packet_sdu_delivery_ledger","PacketSDU","MAC",0,1,64,26,"eaa8350b22027c797921353274466923ab1c24ea051ee71df0bae1c3ac2fd625","kpi_schema_v1","sixgr.kpi.reconstructLLSKPISummaryFromRaw","pass",""
"","C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\artifacts\packet_flow\csv\live_application_packet_delivery_ledger.csv","application_packet_delivery_ledger","ApplicationPackets","application",0,1,160,25,"1f591dabca649bc7f87eb7c97a2e888f651f765d3cd4478c12c6b77e84cc1387","kpi_schema_v1","sixgr.kpi.reconstructLLSKPISummaryFromRaw","pass",""
