RunId,KPIName,Direction,FormulaId,FormulaVersion,Value,NumeratorValue,DenominatorValue,AggregationDurationSec,DurationSource,RadioDurationOk,SourceTablePaths,SourceRowCount,EligibleRowCount,SourceRowsHash,ProxyRowsExcluded,SkippedRowsExcluded,HARQDeduplicationApplied,DuplicateDeliveryCount,ReconstructionPass,StrictOk,Status,FailureReason
"","UL_BLER","UL","UL_BLER","kpi_registry_v1",1,NaN,2,0.01,"configured_measurement_window_sec",1,"air_interface/csv/ul_pusch_trials.csv",2,2,"79a431b88beee829ccf4a71b68663ea90392c6e96cd62024edb67ecfaea2ea07",0,0,0,0,1,1,"pass",""
"","DL_BLER","DL","DL_BLER","kpi_registry_v1",1,NaN,6,0.01,"configured_measurement_window_sec",1,"air_interface/csv/dl_pdsch_trials.csv",6,6,"dfa09e1dd61080b1861a952ca346ef04aa521c7d64afddf450adeefff3a85b7f",0,0,0,0,1,1,"pass",""
"","UL_BER","UL","UL_BER","kpi_registry_v1",0.23396727222023,NaN,2,0.01,"configured_measurement_window_sec",1,"air_interface/csv/ul_pusch_trials.csv",2,2,"79a431b88beee829ccf4a71b68663ea90392c6e96cd62024edb67ecfaea2ea07",0,0,0,0,1,1,"pass",""
"","DL_BER","DL","DL_BER","kpi_registry_v1",0.340720296707587,NaN,6,0.01,"configured_measurement_window_sec",1,"air_interface/csv/dl_pdsch_trials.csv",6,6,"dfa09e1dd61080b1861a952ca346ef04aa521c7d64afddf450adeefff3a85b7f",0,0,0,0,1,1,"pass",""
"","Scenario_Total_UL_DeliveredBits","UL","Scenario_Total_UL_DeliveredBits","kpi_registry_v1",0,0,2,0.01,"configured_measurement_window_sec",1,"air_interface/csv/ul_pusch_trials.csv",2,2,"79a431b88beee829ccf4a71b68663ea90392c6e96cd62024edb67ecfaea2ea07",0,0,0,0,1,1,"pass",""
"","Scenario_Total_DL_DeliveredBits","DL","Scenario_Total_DL_DeliveredBits","kpi_registry_v1",0,0,6,0.01,"configured_measurement_window_sec",1,"air_interface/csv/dl_pdsch_trials.csv",6,6,"dfa09e1dd61080b1861a952ca346ef04aa521c7d64afddf450adeefff3a85b7f",0,0,0,0,1,1,"pass",""
"","Scenario_Total_UL_ScheduledBits","UL","Scenario_Total_UL_ScheduledBits","kpi_registry_v1",401616,401616,2,0.01,"configured_measurement_window_sec",1,"air_interface/csv/ul_pusch_trials.csv",2,2,"79a431b88beee829ccf4a71b68663ea90392c6e96cd62024edb67ecfaea2ea07",0,0,0,0,1,1,"pass",""
"","Scenario_Total_DL_ScheduledBits","DL","Scenario_Total_DL_ScheduledBits","kpi_registry_v1",1106544,1106544,6,0.01,"configured_measurement_window_sec",1,"air_interface/csv/dl_pdsch_trials.csv",6,6,"dfa09e1dd61080b1861a952ca346ef04aa521c7d64afddf450adeefff3a85b7f",0,0,0,0,1,1,"pass",""
"","UL_MAC_Goodput_Mbps","UL","UL_MAC_Goodput_Mbps","kpi_registry_v1",0,0,0.01,0.01,"measurement_window:packet_delivery_measurement_window",1,"C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\artifacts\packet_flow\csv\live_packet_sdu_delivery_ledger.csv",16,16,"7689e8ec949342886651087ee47f9540135313caf7b5341b06dd8a0c645f5ed0",0,0,1,0,1,1,"pass",""
"","DL_MAC_Goodput_Mbps","DL","DL_MAC_Goodput_Mbps","kpi_registry_v1",0,0,0.01,0.01,"measurement_window:packet_delivery_measurement_window",1,"C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\artifacts\packet_flow\csv\live_packet_sdu_delivery_ledger.csv",48,48,"1636ab7b3a9a85cfd68ea52d875ffdc31dc210b7792cbc3bce367c75eb1f887f",0,0,1,0,1,1,"pass",""
"","UL_Application_Goodput_Mbps","UL","UL_Application_Goodput_Mbps","kpi_registry_v1",0,0,0.01,0.01,"measurement_window:packet_delivery_measurement_window",1,"C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\artifacts\packet_flow\csv\live_application_packet_delivery_ledger.csv",80,80,"f9d5673201fdacc727f067ec4fd9b5d25ad59c730831b667cba2c2460209275d",0,0,1,0,1,1,"pass",""
"","DL_Application_Goodput_Mbps","DL","DL_Application_Goodput_Mbps","kpi_registry_v1",0,0,0.01,0.01,"measurement_window:packet_delivery_measurement_window",1,"C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\artifacts\packet_flow\csv\live_application_packet_delivery_ledger.csv",80,80,"64d7c774d2b63122167b183565c07989728563dbebee107de0ad8c9784551ec6",0,0,1,0,1,1,"pass",""
