RunId,KPIName,Direction,FormulaId,FormulaVersion,Value,NumeratorValue,DenominatorValue,AggregationDurationSec,DurationSource,RadioDurationOk,SourceTablePaths,SourceRowCount,EligibleRowCount,SourceRowsHash,ProxyRowsExcluded,SkippedRowsExcluded,HARQDeduplicationApplied,DuplicateDeliveryCount,ReconstructionPass,StrictOk,Status,FailureReason
"","UL_Goodput_Max_Mbps","UL","UL_Goodput_Max_Mbps","kpi_registry_v1",0,0,0.01,0.01,"measurement_window:configured_measurement_window_sec",1,"air_interface/csv/ul_pusch_trials.csv",2,2,"79a431b88beee829ccf4a71b68663ea90392c6e96cd62024edb67ecfaea2ea07",0,0,1,0,1,1,"pass",""
"","DL_Goodput_Max_Mbps","DL","DL_Goodput_Max_Mbps","kpi_registry_v1",0,0,0.01,0.01,"measurement_window:configured_measurement_window_sec",1,"air_interface/csv/dl_pdsch_trials.csv",6,6,"dfa09e1dd61080b1861a952ca346ef04aa521c7d64afddf450adeefff3a85b7f",0,0,1,0,1,1,"pass",""
"","UL_PHY_ScheduledThroughput_Mbps","UL","UL_PHY_ScheduledThroughput_Mbps","kpi_registry_v1",803.232,401616,0.0005,0.0005,"scheduled_resource_exposure:configured_measurement_window_sec",1,"air_interface/csv/ul_pusch_trials.csv",2,2,"79a431b88beee829ccf4a71b68663ea90392c6e96cd62024edb67ecfaea2ea07",0,0,0,0,1,1,"pass",""
"","DL_PHY_ScheduledThroughput_Mbps","DL","DL_PHY_ScheduledThroughput_Mbps","kpi_registry_v1",737.696,1106544,0.0015,0.0015,"scheduled_resource_exposure:configured_measurement_window_sec",1,"air_interface/csv/dl_pdsch_trials.csv",6,6,"dfa09e1dd61080b1861a952ca346ef04aa521c7d64afddf450adeefff3a85b7f",0,0,0,0,1,1,"pass",""
"","UL_TB_Delivery_Goodput_Mbps","UL","UL_TB_Delivery_Goodput_Mbps","kpi_registry_v1",0,0,0.01,0.01,"measurement_window:configured_measurement_window_sec",1,"air_interface/csv/ul_pusch_trials.csv",2,2,"79a431b88beee829ccf4a71b68663ea90392c6e96cd62024edb67ecfaea2ea07",0,0,1,0,1,1,"pass",""
"","DL_TB_Delivery_Goodput_Mbps","DL","DL_TB_Delivery_Goodput_Mbps","kpi_registry_v1",0,0,0.01,0.01,"measurement_window:configured_measurement_window_sec",1,"air_interface/csv/dl_pdsch_trials.csv",6,6,"dfa09e1dd61080b1861a952ca346ef04aa521c7d64afddf450adeefff3a85b7f",0,0,1,0,1,1,"pass",""
"","UL_SpectralEfficiency_bpsHz","UL","UL_SpectralEfficiency_bpsHz","kpi_registry_v1",0,0,0.01,0.01,"measurement_window:configured_measurement_window_sec",1,"air_interface/csv/ul_pusch_trials.csv",2,2,"79a431b88beee829ccf4a71b68663ea90392c6e96cd62024edb67ecfaea2ea07",0,0,0,0,1,1,"pass",""
"","DL_SpectralEfficiency_bpsHz","DL","DL_SpectralEfficiency_bpsHz","kpi_registry_v1",0,0,0.01,0.01,"measurement_window:configured_measurement_window_sec",1,"air_interface/csv/dl_pdsch_trials.csv",6,6,"dfa09e1dd61080b1861a952ca346ef04aa521c7d64afddf450adeefff3a85b7f",0,0,0,0,1,1,"pass",""
"","UL_Latency_ms","UL","UL_Latency_ms","kpi_registry_v1",NaN,NaN,0,0.01,"configured_measurement_window_sec",1,"air_interface/csv/ul_pusch_trials.csv",2,2,"79a431b88beee829ccf4a71b68663ea90392c6e96cd62024edb67ecfaea2ea07",0,0,0,0,0,0,"fail",""
"","DL_Latency_ms","DL","DL_Latency_ms","kpi_registry_v1",NaN,NaN,0,0.01,"configured_measurement_window_sec",1,"air_interface/csv/dl_pdsch_trials.csv",6,6,"dfa09e1dd61080b1861a952ca346ef04aa521c7d64afddf450adeefff3a85b7f",0,0,0,0,0,0,"fail",""
